Song Name,Artist,Rank in USTop20 Chart
The Cowboy In Me (Yellowstone Edition),Tim McGraw,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,2
Big Energy,Latto,3
Super Gremlin,Kodak Black,4
Shivers,Ed Sheeran,5
Scorpio,Moneybagg Yo,6
Pope Is A Rockstar,SALES,7
abcdefu,GAYLE,8
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",9
Heat Waves,Glass Animals,10
Need To Know,Doja Cat,11
Easy On Me,Adele,12
Better Days,"NEIKED, Mae Muller & Polo G",13
Oh My God,Adele,14
Pepas,Farruko,15
Happier Than Ever,Billie Eilish,16
One Right Now,Post Malone & The Weeknd,17
For Tonight,GIVĒON,18
INDUSTRY BABY,Lil Nas X & Jack Harlow,19
Beggin,Måneskin,20
