Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Woonsocket,Worcester,Yakima,Youngstown,Yuma
Big Energy,Latto,1,1,4,3,5,2,2,1,2,,8,,8,1,10,20,4,19,21,8,11,8,,8,15,4,17,23,7,3,,3,5,3,,5,8,,30,10,4,4,4,24,9,8,4,4,4,6,6,6,10,2,6,3,,5,9,,7,4,10,12,,9,2,22,6,10,6,3,4,1,10,2,6,18,4,8,4,15,2,14,2,2,6,11,5,9,3,27,,3,28,8,3,3,30,4,2,5,5,4,7,3,6,,5,22,3,4,4,2,13,1,4,19,10,5,2,8,4,4,,6,2,13,31,8,3,3,8,,9,2,3,2,6,3,40,13,,4,13,8,3,1,10,6,2,2,2,1,3,4,17,2,17,,7,4,3,2,6,4,7,2,37,13,6,9,35,6,3,7,9,5,1,12,10,4,2,6,4,2,6,2,2,2,27,1,3,4,10,5,3,,6,6,12,2
Heat Waves,Glass Animals,2,,3,10,30,3,29,6,6,27,36,,10,4,18,11,22,22,,,4,41,7,7,13,25,9,19,,7,,6,,7,,16,19,,12,5,10,15,20,3,27,10,9,16,,13,8,9,8,15,15,9,,,,11,14,7,19,8,,2,14,14,14,7,5,5,9,7,3,9,3,,5,,27,8,16,9,3,8,9,7,11,33,13,13,,8,12,2,13,9,11,19,7,4,8,7,9,13,45,35,16,5,5,11,9,7,8,8,21,21,41,18,12,19,14,16,16,18,23,15,3,17,6,8,3,2,4,6,12,5,35,5,4,7,3,5,8,15,9,4,18,4,18,6,21,7,9,13,,8,14,,36,10,11,8,9,10,13,9,,5,5,6,,3,14,4,11,14,7,9,2,20,8,8,16,26,11,7,3,8,36,6,23,10,14,3,11,,14,5,24,3
Cold Heart (PNAU Remix),Elton John & Dua Lipa,3,,1,1,1,1,1,2,1,13,11,,5,2,7,1,11,5,1,1,1,22,4,1,1,1,1,1,,1,3,1,1,2,,12,9,19,2,16,1,3,2,1,7,1,2,1,9,1,4,4,1,1,1,4,16,12,2,,1,1,1,6,29,1,1,4,4,1,4,2,1,2,1,1,1,2,1,12,2,2,1,1,1,1,1,1,2,35,1,1,,1,1,1,4,1,1,1,1,1,3,5,3,1,13,6,1,2,24,1,6,1,1,3,8,1,2,1,1,7,1,6,,2,6,12,1,4,1,2,1,,1,1,2,1,,1,1,1,4,1,1,1,1,8,3,1,3,1,11,2,1,2,22,1,2,,3,1,1,4,2,1,4,1,5,1,9,1,,1,2,1,1,2,2,1,1,1,1,2,2,1,3,1,1,1,1,3,5,13,4,1,2,,1,1,1,1
I Should Live In Salt,The National,4,,,,43,,,,39,5,,,15,,,38,,20,,11,17,,,,37,30,,22,,,,,,,,36,,,,,,,,44,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,28,,,,,,,,,44,27,14,,,35,,,,,,,,34,,,,,,,,,,33,,29,13,,16,38,,,,,,,,,,,,,,,43,15,,44,38,45,30,,,31,,,,,,,,44,,,23,,,,21,44,,,,,,,,,,,,,37,,,
Right Down The Line,Gerry Rafferty,5,,8,36,8,12,17,4,9,3,17,,2,21,14,24,5,1,,14,42,,28,23,6,2,6,2,,5,,22,,,,3,34,,5,6,31,34,19,14,36,5,3,7,,16,16,10,,21,2,21,27,,17,1,5,28,5,2,,,7,12,3,9,29,14,2,15,,,26,12,29,17,34,32,,31,35,39,17,,19,23,40,9,7,32,39,16,37,,8,33,17,39,23,2,21,25,,5,35,26,10,28,40,10,6,,2,4,4,,18,5,17,23,,9,14,,14,2,30,26,29,,,4,7,11,,18,20,15,26,15,3,7,10,17,4,,,28,6,5,8,39,20,14,45,,2,6,5,3,3,3,3,29,,3,,28,,16,45,,14,15,26,19,7,21,28,14,5,22,7,5,4,17,,,26,37,3,24,30,,5,7,36,22
Do It Again,Steely Dan,6,,39,,33,,,22,33,10,,,29,,,3,42,21,,17,,,,,23,28,26,17,,,,17,,,30,,,,,22,42,,,,,,16,40,5,,,,,,29,,,,34,,,,,26,,,,,27,43,,,,,,,,,20,,,30,,,,,,,,,,20,,,,,,,,,,,34,37,,,,24,,16,,,,44,,,,45,35,,,,,,,,,,35,30,,,,,,10,,,,,9,,,31,27,25,,22,,,,,,30,44,,,,,,19,,,12,19,21,12,19,,33,,,,43,,,38,30,,,32,,,,8,,,,40,,,,43,23,44,,,,17,24,,
Beggin,Måneskin,7,9,29,20,,24,23,14,34,43,,,25,39,44,17,,23,31,3,19,,,32,33,34,27,12,,38,,27,6,27,,,,,17,18,24,,23,30,,33,,12,,9,,38,34,,32,,,,25,,33,23,,21,14,6,,28,,28,30,13,,,,30,39,15,13,,43,31,13,34,18,29,28,29,32,,30,19,,27,,10,28,,35,34,33,16,,34,,22,,26,15,1,15,,,23,36,20,42,39,36,22,,,13,,,45,,20,15,,21,20,20,,11,18,36,23,,21,22,22,,18,11,14,23,9,,21,44,31,,42,29,6,,43,,,,32,41,26,,,,26,,27,15,23,,8,,16,13,,,31,8,39,38,21,,21,,21,27,43,12,26,36,38,,20,31,,3,,10,30
Half On A Sack,Three 6 Mafia,8,,12,,,,,,27,,,,,,,,,,,,32,33,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,19,,,,,18,,,,,,31,17,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
'Til You Can't,Cody Johnson,9,,,30,,40,,,,,,,,,,,26,17,,7,22,,2,18,,,,,,,,45,25,8,,,,,,12,19,42,,25,,,,,,36,,,12,37,37,,,,30,,,,,34,,,,5,40,,45,43,,,20,7,,1,32,,,,33,,,,,20,44,34,,43,,29,,,40,21,,,,34,,,36,11,,,,,,,43,39,,13,,25,,,,38,,,2,,,,,,25,34,17,,,,,,,,,19,,35,39,,35,,,10,,,,,26,22,,,16,,,38,23,,,,,,,,10,7,,,36,11,,,,,31,,,35,,,,,36,,7,24,,30,,30,,,,42,25,
Bad Habits,Ed Sheeran,10,,,35,,15,32,32,43,22,,,42,,,19,,,,31,23,,35,24,40,39,24,31,,27,,18,,,,,,,,,45,43,,41,,,,26,30,27,,,16,,24,,,,,,32,,22,,,8,43,42,,32,,44,,,,28,34,,27,,,,34,20,28,34,,10,41,,25,37,,,16,18,33,44,,37,18,12,36,,,33,,,22,35,,36,,24,25,,,38,,45,,,28,39,,24,,,38,24,12,,,,16,29,,31,,36,,11,,11,30,,29,,32,,,41,,,,31,,28,,,,29,42,32,37,27,,,,41,39,,,12,,,23,,,,21,19,22,36,,24,,36,20,,24,45,,8,,38,38,,12,18,,
