Song Name,Artist,New York City,Los Angeles,Chicago,Houston,Atlanta,Dallas,Miami,Phoenix,Riverside,"Washington, D.C.",Philadelphia,Boston,Anaheim,Denver,Las Vegas,San Diego,Detroit,Seattle,San Antonio,Orlando
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,1,,,,8,,12,13,,,8,,,,,,,,,9
Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,2,2,5,15,3,2,1,3,2,1,2,3,2,1,3,2,2,2,1
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,3,,,,18,,,,12,,10,11,,,,17,,,,
I Hate U,SZA,4,,,,19,,,,,,4,,,,,,,,,
Need To Know,Doja Cat,5,7,19,17,,19,13,10,7,,13,,12,19,,13,19,12,11,15
Pepas,Farruko,6,3,,7,,14,3,3,5,,,7,4,,8,5,,,3,2
Ameno Amapiano (Remix),Goya Menor & Nektunez,7,,,,17,,,,,11,,,,,,,,,,
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",8,,12,9,9,12,14,17,,8,7,20,,,18,,16,19,14,14
We Set The Trends,Jim Jones & Migos,9,,,,,,,,,,,,,,,,,,,
Big Energy,Latto,10,1,,12,10,6,17,4,1,5,11,3,1,6,2,2,4,9,4,
Do It to It,Acraze Feat. Cherish,11,9,16,,,,4,,9,,,,6,,20,8,,,,6
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,12,,10,20,12,,15,,,15,12,16,,,,,,,,13
Love Nwantiti (Ah Ah Ah),CKay,13,14,,,,,10,,11,,,15,18,,,,,,,
Shivers,Ed Sheeran,14,,20,,,20,5,8,,,19,6,19,5,5,15,6,6,15,4
abcdefu,GAYLE,15,17,9,,,17,,16,,18,3,14,9,7,,16,7,13,18,17
Beggin,Måneskin,16,,17,10,,,,19,,,,18,16,11,,14,,14,16,
Easy On Me,Adele,17,,15,18,,13,6,,,13,17,19,,18,,,12,15,,7
Gyalis,Capella Grey,18,,,,,,,,,,,,,,,,,,,
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,19,,,,,,,,,19,,,,,,,,,,18
love nwantiti (North African Remix),CKay Feat. ElGrande Toto,20,,,,,,18,,,,,,,,,,,,,
Oh My God,Adele,,4,14,,,,,6,6,,,17,5,12,16,6,18,7,,
Pope Is A Rockstar,SALES,,5,11,4,20,7,,5,4,10,14,12,10,3,15,4,13,3,5,12
Hurricane,Kanye West,,6,,,,,,,13,,,,15,,,,,,,
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",,8,,,,,,,8,,,,13,4,3,10,,,,
Happier Than Ever,Billie Eilish,,10,8,,,,20,14,17,,5,13,7,8,,7,,16,20,20
Heat Waves,Glass Animals,,11,18,8,,8,9,12,10,17,,10,11,15,9,12,11,4,12,11
Better Days,"NEIKED, Mae Muller & Polo G",,12,13,,,15,11,9,20,,15,9,8,16,10,9,9,8,,19
Have Mercy,Chlöe,,13,,11,,16,,,14,,,,14,,12,18,20,20,10,
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,,15,,6,14,10,,7,19,,18,,20,17,6,,,,7,
Poke It Out,Wale Feat. Cool & Dre & J. Cole,,16,,,,,,,18,,20,,,,17,,,,,
The Cowboy In Me (Yellowstone Edition),Tim McGraw,,18,3,1,5,1,,2,2,3,2,1,2,1,4,1,1,1,1,10
Hello It's Me,Todd Rundgren,,19,,,,,,,,,,,,,,11,,,,
"Volver, Volver",Vicente Fernández,,20,,,,,,,,,,,,,,,,,,
You Problem,MONSTA X,,,1,,1,2,1,,,7,,,,,,,,,,5
Super Gremlin,Kodak Black,,,4,3,2,4,8,20,,9,6,4,,9,,,3,5,6,3
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,,,5,,,,,,,1,,,,,,,,,,
Scorpio,Moneybagg Yo,,,6,2,3,5,,,,4,9,,,,13,,5,,8,16
Pressure,Ari Lennox,,,7,15,4,,,,,6,16,,,,,,10,,,
Forever Tippin,"Yung Pooda, DJ Chose & Dre",,,,13,,,,,,,,,,,,,,,,
Beautiful Lies,Yung Bleu & Kehlani,,,,14,16,,,,,,,,,,11,,14,,,
Si Te Pudiera Mentir,Calibre 50,,,,16,,,,,,,,,,,,,,,,
Bubbly (with Drake & Travis Scott),Young Thug,,,,19,7,9,,,,,,,,,,,,,,
Me or Sum,Nardo Wick Feat. Future & Lil Baby,,,,,6,,,,,,,,,,,,,,,
For Tonight,GIVĒON,,,,,11,18,16,,,,,,,20,14,,8,,,8
Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK",,,,,13,,,,,12,,,,,,,,,,
INDUSTRY BABY,Lil Nas X & Jack Harlow,,,,,,11,,15,16,,,8,,13,,,17,10,9,
El Incomprendido,"Farruko, Victor Cardenas & Dj Adoni",,,,,,,7,,,,,,,,,,,,,
One Right Now,Post Malone & The Weeknd,,,,,,,19,11,15,,,5,17,10,7,20,15,11,17,
Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",,,,,,,,18,,,,,,,,,,17,,
Somethin About Ya (Acoustic),J.Howell,,,,,,,,,,14,,,,,,,,,,
