Artist,Song Name,Rank in Top US Chart
Elton John & Dua Lipa,Cold Heart (PNAU Remix),1
Latto,Big Energy,2
Muni Long,Hrs and Hrs,3
Kodak Black,Super Gremlin,4
Billie Eilish,Billie Bossa Nova,5
Glass Animals,Heat Waves,6
GAYLE,abcdefu,7
NEIKED & Mae Muller Feat. Polo G,Better Days,8
Ed Sheeran,Shivers,9
Gerry Rafferty,Right Down The Line,10
Moneybagg Yo,Scorpio,11
Adele,Oh My God,12
Orville Peck,Dead Of Night,13
Alesso & Katy Perry,When I'm Gone,14
"Bruno Mars, Anderson .Paak & Silk Sonic",Smokin Out The Window,15
Adele,Easy On Me,16
SZA,I Hate U,17
Post Malone & The Weeknd,One Right Now,18
Doja Cat,Need To Know,19
Farruko,Pepas,20
