,Percentage of Keywords Detected,Title,Link,About,Detected KeyWords
22,50.0,Be part of the Bulgarian digital health ecosystem,https://dhicluster.bg/?lang=en,"Digital health ecosystem works for sustainable and effective healthcare based on data, innovation and technology. More information. DHI Cluster ...","['personalized', 'AI', '24/7']"
3,33.0,Digital Health Forward on Apple Podcasts,https://podcasts.apple.com/us/podcast/digital-health-forward/id1538553837,"Sharing the stories of healthcare leaders, entrepreneurs and executives who are moving the digital health industry forward. JAN 14, 2022.","['personalized', 'AI']"
23,33.0,Digital Health CT Startups | hartfordhealthcare.org,https://hartfordhealthcare.org/about-us/innovation/ecosystem/digital-health-startups,"A digital health accelerator has recently been launched as part of this public/private initiative in partnership with Trinity College, in Hartford, and the ...","['personalized', 'AI']"
18,33.0,Digital Health Forward on Apple Podcasts,https://podcasts.apple.com/us/podcast/digital-health-forward/id1538553837,"Digital Health Forward Dandi Zhu · Vijay Kedar, Tomorrow Health, on Healthcare at Home · Chrissy Farr, OMERS Ventures, on Breaking News and Fueling Innovation.","['personalized', 'AI']"
28,17.0,UCM Digital Health: Digital Front Door Solution,https://www.ucmdigitalhealth.com/,"UCM Digital Health delivers an end-to-end healthcare solution that combines a digital front door platform with a 24/7 telehealth treat, ...",['24/7']
21,17.0,Home - Artexe,https://artexe.mapsgroup.it/en/,"Why we are Digital Healtcare Architects. ... More opportunities for individuals to independently handle healthcare payments, bookings, test results.",['AI']
19,17.0,Home - Digital Health Port,https://digitalhealthport.com/en/home/,Digital Health PORT provides you with two building blocks: strategic consulting for structural development and operational resources for your teams. Find out ...,['AI']
0,0.0,Digital Health Intelligence Ltd | LinkedIn,https://www.linkedin.com/company/digital-health-intelligence-ltd,"Digital Health Intelligence Ltd | 11647 followers on LinkedIn. Independent business, policy and technology news, research and events focused on developments ...",[]
16,0.0,Telemedi - Digital Health Platform | LinkedIn,https://es.linkedin.com/company/telemedi-co,"Since 2014, we upskill and provide business with plug&play digital healthcare platform including modules like telemedicine, automated triage, ...",[]
27,0.0,Digital Health CRC: Digital Health Innovation ...,https://www.digitalhealthcrc.com/,Digital Health CRC is Australia's leading organisation for digital health innovation and commercialisation. Work with us today.,[]
26,0.0,AKDN Digital Health Resource Centre,https://www.akdn.org/what-we-do/health/akdn-digital-health-resource-centre,"The Aga Khan Development Network Digital Health Resource Centre (AKDN dHRC) drives improvements in access, quality, cost, efficiency and safety of health ...",[]
25,0.0,Brown-Lifespan Center for Digital Health - Brown University,https://digitalhealth.med.brown.edu/,Brown-Lifespan Center for Digital Health. The Center for Digital Health is a hub where creative minds from Brown and its affiliated hospital partners ...,[]
24,0.0,TAG Digital Health - TAG Online - Technology Association of ...,https://www.tagonline.org/societies/health/,"TAG Digital Health focuses on Georgia's rapidly expanding healthcare field. More specifically, we focus on the rapid advances in healthcare technology that are ...",[]
20,0.0,Digital Health and Care Wales: Home,https://dhcw.nhs.wales/,"Digital Health and Care Wales is one of three top finalists in the Pandemic Innovation category for the The Welsh Immunisation System (WIS), which provides the ...",[]
17,0.0,CHIME Launches Digital Health Insights as Digital Destination ...,https://chimecentral.org/chime-launches-digital-health-insights-as-digital-destination-for-healthcare-industry-professionals/,Digital Health Insights (DHI) delivers actionable information on the most pressing issues facing healthcare professionals today.,[]
15,0.0,Australasian Institute of Digital Health,https://digitalhealth.org.au/,AIDH is Australasia's peak body for digital health representing a united and influential single voice for health informatics and digital health leaders and ...,[]
1,0.0,"From big deals to bankruptcy, a digital health unicorn falls ...",https://www.fiercehealthcare.com/tech/from-billions-to-bankruptcy-proteus-digital-health-fell-short-its-promise-here-s-what-other,"Case in point: Proteus Digital Health, a high-flying digital therapeutics startup that secured big pharmaceutical partnerships, raised close to $500 million ...",[]
14,0.0,Thryve Digital,https://www.thryvedigital.com/,"Thryve Digital delivers next-generation solutions that enable Health Care Partners to run their business on our proven, comprehensive platforms allowing them to ...",[]
13,0.0,UCSF | Health Hub Digital Health Awards 2022,https://www.ucsfhealthhub.com/awards/home,The 4th annual UCSF | Health Hub Digital Health Awards seeks to find the next best products as we will honor the world's newest technological methods that ...,[]
12,0.0,The Global Digital Health Network: Home,https://www.globaldigitalhealthnetwork.org/,"Formerly the mHealth Working Group, the Global Digital Health Network was established in 2009 by global health organizations for global health organizations ...",[]
11,0.0,Digital Health Today,https://digitalhealthtoday.com/,"Digital Health Today features leaders, organizations and resources from around the world to accelerate innovation and implementation of health technology.",[]
10,0.0,This Week in Digital Health,https://thisweekindigitalhealth.com/,"This Week in Digital Health - actionable insights for better care outcomes, reduced costs, and greater efficiencies in Healthcare.",[]
9,0.0,NHS Digital: Home,https://digital.nhs.uk/,"Data and technology that improves lives. We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and ...",[]
8,0.0,Digital Health Solutions: Home,https://www.digitalhealthsolutionsllc.com/,"Our technology engages patients, families, and clinicians to improve health care delivery. Our intuitive tablet interface and seamless integration with ...",[]
7,0.0,Digital Health Canada: Connect. Inspire. Empower.,https://digitalhealthcanada.com/,"Digital Health Canada connects, inspires, and educates the digital health professionals creating the future of health in Canada.",[]
6,0.0,Home » Digital Health Institute for Transformation,https://www.dhitglobal.org/,Donate to DHIT · Be a LEADER and shape the future of healthcare · Be an INFLUENCER and share best practices and tools for digital transformation.,[]
5,0.0,Australian Digital Health Agency: Home,https://www.digitalhealth.gov.au/,"The world is changing and the need for a connected healthcare system is greater than ever. Technology is helping more Australians access safer, ...",[]
4,0.0,Digital Health Coalition: Home,https://digitalhealthcoalition.org/,"The Digital Health Coalition, a nonprofit organization with 501(c)(3) status, was created to serve as the collective public voice and national public forum ...",[]
2,0.0,Digital Health & Care Innovation Centre,https://www.dhi-scotland.com/,The Digital Health & Care Innovation Centre is unique in its ability to bring together world leading industry and academic expertise and direct their efforts ...,[]
29,0.0,Digital Health Strategies,https://www.digitalhealthstrategies.com/,Proven digital marketing and online fundraising strategies. We specialize in digital marketing and online fundraising for healthcare organzations.,[]
