,Percentage of Keywords Detected,Title,Link,About,Detected Words
18,25.0,Digital Health Forward on Apple Podcasts,https://podcasts.apple.com/us/podcast/digital-health-forward/id1538553837,"Digital Health Forward Dandi Zhu · Vijay Kedar, Tomorrow Health, on Healthcare at Home · Chrissy Farr, OMERS Ventures, on Breaking News and Fueling Innovation.","['personalized', 'AI']"
3,25.0,Digital Health Forward on Apple Podcasts,https://podcasts.apple.com/us/podcast/digital-health-forward/id1538553837,"Sharing the stories of healthcare leaders, entrepreneurs and executives who are moving the digital health industry forward. JAN 14, 2022.","['personalized', 'AI']"
19,12.0,Home - Digital Health Port,https://digitalhealthport.com/en/home/,Digital Health PORT provides you with two building blocks: strategic consulting for structural development and operational resources for your teams. Find out ...,['AI']
4,12.0,Digital Health Coalition: Home,https://digitalhealthcoalition.org/,"The Digital Health Coalition, a nonprofit organization with 501(c)(3) status, was created to serve as the collective public voice and national public forum ...",['on-demand']
11,0.0,Digital Health Today,https://digitalhealthtoday.com/,"Digital Health Today features leaders, organizations and resources from around the world to accelerate innovation and implementation of health technology.",[]
17,0.0,CHIME Launches Digital Health Insights as Digital Destination ...,"https://chimecentral.org/chime-launches-digital-health-insights-as-digital-destination-for-healthcare-industry-professionals/#:~:text=Digital%20Health%20Insights%20(DHI)%20delivers,digital%20transformation%20within%20their%20organizations.",Digital Health Insights (DHI) delivers actionable information on the most pressing issues facing healthcare professionals today.,[]
16,0.0,Telemedi - Digital Health Platform | LinkedIn,https://es.linkedin.com/company/telemedi-co,"Since 2014, we upskill and provide business with plug&play digital healthcare platform including modules like telemedicine, automated triage, ...",[]
15,0.0,Australasian Institute of Digital Health,https://digitalhealth.org.au/,AIDH is Australasia's peak body for digital health representing a united and influential single voice for health informatics and digital health leaders and ...,[]
14,0.0,Thryve Digital,https://www.thryvedigital.com/,"Thryve Digital delivers next-generation solutions that enable Health Care Partners to run their business on our proven, comprehensive platforms allowing them to ...",[]
13,0.0,UCSF | Health Hub Digital Health Awards 2022,https://www.ucsfhealthhub.com/awards/home,The 4th annual UCSF | Health Hub Digital Health Awards seeks to find the next best products as we will honor the world's newest technological methods that ...,[]
12,0.0,The Global Digital Health Network: Home,https://www.globaldigitalhealthnetwork.org/,"Formerly the mHealth Working Group, the Global Digital Health Network was established in 2009 by global health organizations for global health organizations ...",[]
0,0.0,Digital Health Intelligence Ltd | LinkedIn,https://www.linkedin.com/company/digital-health-intelligence-ltd,"Digital Health Intelligence Ltd | 11647 followers on LinkedIn. Independent business, policy and technology news, research and events focused on developments ...",[]
1,0.0,"From big deals to bankruptcy, a digital health unicorn falls ...",https://www.fiercehealthcare.com/tech/from-billions-to-bankruptcy-proteus-digital-health-fell-short-its-promise-here-s-what-other,"Case in point: Proteus Digital Health, a high-flying digital therapeutics startup that secured big pharmaceutical partnerships, raised close to $500 million ...",[]
9,0.0,NHS Digital: Home,https://digital.nhs.uk/,"Data and technology that improves lives. We support NHS staff at work, help people get the best care, and use the nation's health data to drive research and ...",[]
8,0.0,Digital Health Solutions: Home,https://www.digitalhealthsolutionsllc.com/,"Our technology engages patients, families, and clinicians to improve health care delivery. Our intuitive tablet interface and seamless integration with ...",[]
7,0.0,Digital Health Canada: Connect. Inspire. Empower.,https://digitalhealthcanada.com/,"Digital Health Canada connects, inspires, and educates the digital health professionals creating the future of health in Canada.",[]
6,0.0,Home » Digital Health Institute for Transformation,https://www.dhitglobal.org/,Donate to DHIT · Be a LEADER and shape the future of healthcare · Be an INFLUENCER and share best practices and tools for digital transformation.,[]
5,0.0,Australian Digital Health Agency: Home,https://www.digitalhealth.gov.au/,"The world is changing and the need for a connected healthcare system is greater than ever. Technology is helping more Australians access safer, ...",[]
2,0.0,Digital Health & Care Innovation Centre,https://www.dhi-scotland.com/,The Digital Health & Care Innovation Centre is unique in its ability to bring together world leading industry and academic expertise and direct their efforts ...,[]
10,0.0,This Week in Digital Health,https://thisweekindigitalhealth.com/,"This Week in Digital Health - actionable insights for better care outcomes, reduced costs, and greater efficiencies in Healthcare.",[]
