Company Name (Leave Blank if Using LinkedIn Company Mining),Number of Employees,Company Location,Company Industry
Education at Work,880,"Tempe, Arizona ",Outsourcing/Offshoring
PERSONAL FINANCE EDUCATION SERVICES INC,2,"Ann Arbor, Michigan",Individual & Family Services
MoneyCheck: Personal Finance Education,,"Atlanta, GA ",Financial Services
Personal Finance Employee Education Fund ,3,"Lombard, Illinois ",Financial Services
Ramsey Solutions,"1,321","Franklin, TN ",Financial Services
Finance Student Association ,12,"Toronto , Ontario ",Financial Services
Personal Career Guidance & Development,,"Morrisville, NC ",Professional Training & Coaching
Personal Money Store,2,"Spokane Valley, WA ",Financial Services
Personal Finance Association (PFA),,"London, Ontario",Education Management
Personal Finance for Real People,1,"Kapaa, Hawaii ",Financial Services
Personal Finance Boss,1,"Montreal, Quebec ",Financial Services
Stanford GSB Executive Education,57,"Stanford, California ",Higher Education
Personal Finance Club at OSU,2,"Columbus, OH ",Education Management
Council for Economic Education,126,"New York, NY ",Primary/Secondary Education
Center for Global Development,190,"Washington, D.C. ",Think Tanks
Investopedia,121,"New York, New York ",Online Media
RSF Social Finance,56,"San Francisco, CA ",Financial Services
University of Tampa,"2,478","Tampa, fl ","Tampa, fl"
"Isenberg School of Management, UMass Amherst",449,"Amherst, MA ","Amherst, MA"
Eastern Connecticut State University,"1,068","Willimantic, CT ","Willimantic, CT"
Post University,"1,743","Waterbury, CT ","Waterbury, CT"
North Central College,"1,114","Naperville, IL ","Naperville, IL"
Perennial Resources International,17,"New York, NY ",Staffing & Recruiting
Rutgers Law School,436,"Camden and Newark, NJ ","Camden and Newark, NJ"
Progrexion,"1,151","Salt Lake City, Utah ",Financial Services
SchoolsFirst Federal Credit Union,"1,491","Santa Ana, CA ",Financial Services
Public Affairs Council,80,"Washington, DC ",Public Policy
Tycoono® ,7,"Boston, Massachusetts ",Marketing & Advertising
The Pill Club,297,"San Mateo, CA ",Hospital & Health Care
Service Express,"1,217","Grand Rapids, MI ",Information Technology & Services
"ConsumerTrack, Inc.",163,"El Segundo, CA ",Internet
WalletHub,77,"Washington, DC ",Internet
Freedom Financial Network,"1,441","San Mateo, CA ",Financial Services
Salary Finance,223,London ,Financial Services
Empowered Staffing,12,"Evanston, Illinois ",Staffing & Recruiting
Digit,125,"San Francisco, CA ",Internet
Personal Finance Made Simple,,"Minneapolis, Minnesota ",Financial Services
Ice Miller LLP,791,"Indianapolis, Indiana ",Legal Services
About.com,210,"New York, NY ",Internet
American Institute for Economic Research - AIER,65,"Great Barrington, MA ",Research
Alliant Credit Union,636,"Chicago, IL ",Financial Services
Millsaps College,342,"Jackson, MS ","Jackson, MS"
Mississippi University for Women,375,"Columbus, Mississippi ","Columbus, Mississippi"
Adventures in CRE (A.CRE),8,"Frisco, TX ",Real Estate
United Federal Credit Union,593,"St. Joseph, MI ",Financial Services
UCSC Silicon Valley Extension,277,"Santa Clara, California ","Santa Clara, California"
Young Investors Society,39,"Westlake Village, California ",Education Management
Zogo,60,"Austin, Texas ",Financial Services
Patrick Allen Group,4,"Forestville, CA ",Staffing & Recruiting
University of Alabama at Birmingham - Collat School of Business,88,"Birmingham, Alabama ","Birmingham, Alabama"
"City Girl Savings, LLC.",5,"Austin, Texas ",Financial Services
Oregon State University College of Business,113,"Corvallis, Oregon ","Corvallis, Oregon"
Maryville University Online,67,"St. Louis, Missouri ",Higher Education
Colibri Group,338,"St. Louis, MO ",Professional Training & Coaching
Guidance Residential,211,"Reston, VA ",Financial Services
Wolf Commercial Real Estate (WCRE) | CORFAC International,22,"Marlton, New Jersey ",Commercial Real Estate
"Kay and Associates, Inc.",585,"Buffalo Grove, IL ",Banking
Ed Slott and Company,23,"Rockville Centre, New York ",Accounting
Yale SOM Executive Education,,,Education Management
Davenport & Company LLC,843,"New Haven, CT ","New Haven, CT"
MediaAlpha,344,"Richmond, VA ",Financial Services
American Society for Health Care Risk Management (ASHRM),148,"Los Angeles, CA ",Marketing & Advertising
Omni One,13,"Chicago, IL ",Hospital & Health Care
GreenPath Financial Wellness,110,"Dublin, Ohio ",Staffing & Recruiting
PICPA,348,"Farmington Hills, Michigan ",Financial Services
"Five Rings Financial, LLC",125,"Philadelphia, PA ",Non-profit Organization Management
AFCPE® (Association for Financial Counseling and Planning Education®),409,"Littleton, Colorado ",Financial Services
Bank of China USA,47,"Westerville, OH ",Financial Services
Upskillist,112,"New York, NY ",Banking
Borrowell,307,"Dublin, County Dublin ",E-learning
Success Resources America,138,"Toronto, Ontario ",Financial Services
Kuvera LLC,81,"Carlsbad, California ",Professional Training & Coaching
Plusheadhunters Consulting & Training Cia Ltda Ecuador,544,"Salt Lake City, UT ",E-learning
The Leadership Consortium (TLC),2,"Quito, Pichincha ",Human Resources
University of Puerto Rico-Bayamon,22,"Concord, Massachusetts ",Management Consulting
FinLocker,152,Bayamón ,Bayamón
GVEC,48,"St Louis, Missouri ",Financial Services
Latinos in Finance,190,"Gonzales, Texas ",Utilities
"EMC Publishing, LLC",2,"San Francisco, California ",Higher Education
AVST,59,"St Paul, Minnesota ",Publishing
"LWilliam, Personal Finance Education",78,"Bothell, WA ",Computer Software
Canadian Immigrant,1,"Atlanta, Georgia ",Financial Services
Next Gen HQ,7,"Mississauga, Ontario ",Publishing
Personal Finance Squad,50,"New York, New York ",Education Management
ARGI,,"West Bloomfield, MI ",Education Management
CentSai,238,"Louisville, Kentucky ",Financial Services
"WealthCounsel, LLC",83,"Brooklyn, NY ",E-learning
GoldSilver.com,137,"Salt Lake City, UT ",Legal Services
Phillips Lytle LLP,28,"New York, NY ",Financial Services
"Legacy Education Alliance, Inc. (OTCQB: LEAI)",348,"Buffalo, NY ",Law Practice
Central Michigan University College of Business Administration,53,"Cape Coral, Florida ",Education Management
National Financial Educators Council,17,"Mount Pleasant, Michigan ",Higher Education
Alterna Savings,31,"Las Vegas, Nevada ",Education Management
Canada West Agent Services,485,"Ottawa, ON ",Financial Services
Navicore Solutions,6,"Vancouver, British Columbia ",Staffing & Recruiting
HerMoney,70,"Manalapan, NJ ",Financial Services
Finance Shminance,14,New York ,Online Media
"Blackman & Sloop, CPAs, P.A.",,"Arlington, Texas ",Financial Services
Invest in Girls (A Program of CEE),37,"Chapel Hill, NC ",Accounting
Next Gen Personal Finance,28,"Arlington, MA ",Non-profit Organization Management
Certification Strategy,28,"Palo Alto, CA ",Non-profit Organization Management
University of Maryland - Robert H. Smith School of Business,,,Education Management
CSCMP - Council of Supply Chain Management Professionals,1,"Sheridan, WY ",Education Management
International Desalination Association (IDA),832,"College Park, Maryland ","College Park, Maryland"
Harris County Department of Education,211,"Lombard, IL ",Non-profit Organization Management
Carnegie Mellon University - Tepper School of Business,29,"Danvers, MA ",Non-profit Organization Management
Institute of Finance and Management,738,"Houston, Texas ",Education Management
Certified Management Accountant: CMA®,417,"Pittsburgh, pa ","Pittsburgh, pa"
Demand Driven Institute,25,"Portland, ME ",Accounting
First Finance,45,"Montvale, NJ ",Accounting
