OBJECTID,ADDRESS,LOCATION,STREET,PLACEMENT,RACKS,SPACES,GLOBALID,INSTALL_YR,INSTALL_MO,LAT,LON,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Analysis Neighborhoods - 2010 census tracts assigned to neighborhoods 2,"CBD, BID and GBD Boundaries as of 2017 2",Central Market/Tenderloin Boundary Polygon - Updated 2,Neighborhoods
12163,125 GRANT AVE,Hermes,GRANT,SIDEWALK,1,2,,2004,0,37.788072,-122.405341,POINT (-122.40533 37.788067),19,6,3,8,43,5,,19
10645,1399 BUSH ST,Polk Bush Garage,BUSH,GARAGE,0,0,,0,0,37.788633,-122.42023,POINT (-122.42022 37.788628),50,4,3,21,11,10,,50
10892,305 GRANT AVE,Au Top Coiffure,GRANT,SIDEWALK,1,2,,2015,1,37.789784,-122.405649,POINT (-122.40564 37.78978),19,6,3,8,43,5,,19
10069,121 STEUART ST,Jewish Community Federation,STEUART,SIDEWALK,2,4,,2010,0,37.79314,-122.392528,POINT (-122.39252 37.793137),108,1,10,8,25,,,108
12199,1794 SAN JOSE AVE,Mission Dental,SAN JOSE,SIDEWALK,1,2,,2011,1,37.729192,-122.440078,POINT (-122.44006 37.729187),94,9,1,28,186,,,94
13605,307 3rd Avenue,,3rd Avenue,SIDEWALK,2,4,,2020,7,,,POINT (-122.46118 37.782795),5,8,4,11,98,,,5
11322,795 FOLSOM ST,Subway,FOLSOM,SIDEWALK,1,2,,2013,1,37.782052,-122.400852,POINT (-122.40084 37.782047),32,1,10,34,36,4,,32
11665,1099 VALENCIA ST,Boogaloos,VALENCIA,ROADWAY,6,12,,2010,5,37.75548,-122.420668,POINT (-122.420654 37.755474),53,3,2,20,177,,,53
11036,4555 CALIFORNIA ST,Village Market,CALIFORNIA,SIDEWALK,1,2,,2011,6,37.784506,-122.466493,POINT (-122.46648 37.7845),5,8,4,11,97,,,5
12822,270 McAllister St,Conard House,McAllister St,SIDEWALK,3,6,,2019,12,37.78057577,-122.41651331,POINT (-122.416504 37.78057),21,5,10,36,132,6,1,21
12630,301 22nd ave,YMCA,22nd ave,SIDEWALK,1,2,,2019,12,37.78196648,-122.48165584,POINT (-122.48164 37.781963),8,8,4,29,28,,,8
8673,2060 Union Street,Fog City Leather,Union Street,SIDEWALK,1,2,,2018,4,0,0,POINT (-122.43324 37.797653),15,4,6,13,81,,,15
8988,3274 Mission Street,Bay Jiu-Jitsu,Mission Street,SIDEWALK,1,2,,2018,4,0,0,POINT (-122.42084 37.74463),83,9,2,2,188,,,83
11586,1081 MISSION ST,De La Paz Coffee Roasters,MISSION,SIDEWALK,2,4,,2012,10,37.779436,-122.410216,POINT (-122.4102 37.77943),32,1,10,34,181,7,1,32
11501,639 FREDERICK ST,ArcoSports,FREDERICK,SIDEWALK,1,2,,2013,1,37.765764,-122.455421,POINT (-122.45541 37.76576),110,7,11,14,116,,,110
9001,2164 Chestnut Street,Chase Bank,Chestnut Street,SIDEWALK,1,2,,2018,4,0,0,POINT (-122.43895 37.80061),17,4,6,13,14,,,17
12452,499 GUERRERO ST,Hom's Grocery & Liquor,17TH,SIDEWALK,1,2,,2000,0,37.763293,-122.423717,POINT (-122.423706 37.763287),37,3,5,20,178,,,37
10809,1300 DOLORES ST,Luv A Java,26TH,SIDEWALK,1,2,,2005,0,37.748485,-122.425163,POINT (-122.42515 37.74848),52,3,5,22,84,,,52
9360,1500 OWENS ST,UCSF Mission Bay Orthopedic Institute,OWENS,PARCEL,4,6,,2005,0,37.768516,-122.396363,POINT (-122.39635 37.768513),34,1,10,4,68,,,34
9247,445 HAYES ST,Sing Lee laundry,HAYES,SIDEWALK,1,2,,2006,0,37.776525,-122.423673,POINT (-122.42366 37.77652),22,4,11,9,70,,,22
8762,4214 California Street,SF Pediatric Dentistry,California Street,SIDEWALK,1,2,,2018,12,0,0,POINT (-122.46289 37.78543),4,8,6,11,98,,,4
11879,2817 24TH ST,Roosevelt Tamale Parlor,24TH,SIDEWALK,1,2,,2003,0,37.752627,-122.408574,POINT (-122.40856 37.75262),53,3,2,20,164,,,53
11337,2023 MISSION ST,Mission Plaza,MISSION,SIDEWALK,1,2,,2002,0,37.764424,-122.419091,POINT (-122.419075 37.76442),53,3,2,20,89,,,53
11718,1716 DIVISADERO ST,Cheese Steak Shop,DIVISADERO,SIDEWALK,1,2,,2015,1,37.785582,-122.439786,POINT (-122.43977 37.785576),103,4,6,30,5,,,103
12094,1042 LARKIN ST,Mr Holmes Bakehouse,LARKIN,SIDEWALK,2,4,,2015,1,37.787747,-122.418175,POINT (-122.41816 37.787743),50,6,3,21,11,,,50
8744,1021 Sanchez Street,Noe Valley Ministry,Sanchez Street,SIDEWALK,1,2,,2018,9,0,0,POINT (-122.42941 37.75282),84,3,5,22,86,,,84
11411,698 HAYES ST,Hayes Market,HAYES,SIDEWALK,1,2,,2003,0,37.776461,-122.427769,POINT (-122.42776 37.776455),22,4,11,9,72,,,22
10629,1221 DIVISADERO ST,Frankee Uno San Francisco,DIVISADERO,SIDEWALK,1,2,,2010,0,37.7809,-122.43934,POINT (-122.43932 37.780895),13,7,11,39,138,,,13
8683,2654 Mission Street,Verizon,Mission Street,SIDEWALK,1,2,,2018,5,0,0,POINT (-122.419014 37.75457),53,3,2,20,87,,,53
9916,2309 Bryant Street,Math Times Joy,BRYANT,SIDEWALK,1,2,,2017,4,37.757428,-122.409488,POINT (-122.40948 37.757423),53,3,2,20,195,,,53
12612,3250 Cesar Chavez Street,Arena Ready Performance,Cesar Chavez Street,SIDEWALK,2,4,,2019,12,37.74827149,-122.41526316,POINT (-122.41525 37.74827),53,3,2,20,166,,,53
8894,1775 44th Avenue,Noriega Preschool,44th Avenue,SIDEWALK,1,2,,2018,3,0,0,POINT (-122.50364 37.75383),39,10,7,35,103,,,39
11024,711 MARKET ST,Del Taco,MARKET,SIDEWALK,1,2,,2003,0,37.78702,-122.403677,POINT (-122.40366 37.787014),32,5,10,8,25,4,,32
11469,1298 OCEAN AVE,Ingleside Branch Library,OCEAN,SIDEWALK,2,4,,2010,0,37.724138,-122.456187,POINT (-122.45618 37.724133),71,9,8,41,106,13,,71
10365,395 VALENCIA ST,Nooworks,VALENCIA,SIDEWALK,1,2,,2012,5,37.766806,-122.421739,POINT (-122.42172 37.7668),53,3,2,20,89,,,53
9888,1201 TARAVAL ST,Walgreens,TARAVAL,SIDEWALK,1,2,,2002,0,37.742647,-122.479095,POINT (-122.47908 37.74264),40,10,7,35,95,,,40
12744,1439 egbert,,egbert,SIDEWALK,2,4,,2019,12,37.72298456,-122.39320302,POINT (-122.39319 37.72298),88,2,9,1,191,,,88
11369,4850 03rd Street,Palou Check Cashing,03RD,SIDEWALK,2,4,,2017,2,37.734433,-122.390982,POINT (-122.39097 37.73443),87,2,9,1,26,,,87
9635,1425 SANSOME ST,RJ's Market,SANSOME,SIDEWALK,1,2,,2015,9,37.80333,-122.403294,POINT (-122.40328 37.803326),18,6,3,8,22,,,18
