OBJECTID,LOC_ID,LOCATION,NODELAYER,CNN,TIME,YR2006_PM,YR2007_PM,YR2008_PM,YR2009_PM,YR2010_PM,YR2011_PM,YR2013_PM,YR2014_PM,YR2015_PM,YR2011PADJ,GLOBALID,YR2016_PM,YR2017_PM,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
626,70,22nd St & Folsom St,,37.75572,"122° 24' 50.400"" W",-1,-1,-1,-1,-1,-1,275,275,365,-1,,-1,-1,POINT (-122.41399 37.755714),53,53,3,2,20
658,101,22nd St & Valencia St,,37.75531,"122° 25' 15.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.42099 37.755306),52,52,3,5,20
439,11,Polk St & Sutter St,,37.78776,"122° 25' 12.000"" W",158,181,209,203,258,336,432,432,446,263,,481,367,POINT (-122.41999 37.787754),50,50,4,3,21
645,89,Geneva Ave & Ocean Ave,,37.72296,"122° 27' 7.200"" W",-1,-1,-1,-1,-1,-1,64,64,85,0,,-1,-1,POINT (-122.45199 37.722954),95,95,10,8,24
672,115,Silver Ave & San Bruno Ave,,37.73245,"122° 24' 21.600"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.40599 37.732445),91,91,2,2,25
444,16,Valencia St & 17th St,,37.7633,"122° 25' 19.200"" W",441,541,690,606,771,1059,1285,1285,1219,952,,1169,1073,POINT (-122.42199 37.763294),37,37,3,5,20
567,1,Market St & 11th St,,37.7756,"122° 25' 8.400"" W",545,585,726,808,818,1396,-1,-1,-1,1173,,-1,-1,POINT (-122.41898 37.775597),21,21,5,10,36
613,57,Howard St & 8th St,,37.77623,"122° 24' 43.200"" W",-1,-1,-1,-1,-1,-1,591,591,493,-1,,-1,-1,POINT (-122.41199 37.776226),32,32,1,10,34
599,43,8th Ave & Clement St,,37.78284,"122° 28' 1.200"" W",-1,-1,-1,-1,-1,95,82,82,50,0,,-1,-1,POINT (-122.46699 37.782837),5,5,8,4,11
581,25,Alemany Blvd & Geneva Ave,,37.71789,"122° 26' 31.200"" W",9,28,28,29,25,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.441986 37.717884),80,80,9,1,28
594,38,Holloway Ave & 19th Ave,,37.72103,"122° 28' 30.000"" W",-1,-1,-1,-1,-1,99,61,61,54,0,,-1,-1,POINT (-122.47498 37.721024),41,41,10,8,41
582,26,Great Hwy & Sloat Blvd,,37.73541,"122° 30' 25.200"" W",50,-1,39,82,38,-1,35,35,62,-1,,-1,-1,POINT (-122.50699 37.735405),43,43,,8,16
609,53,Kearny St & Bush St,,37.79077,"122° 24' 14.400"" W",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,POINT (-122.403984 37.790764),19,19,6,3,8
571,5,2nd St & Townsend,,37.78062,"122° 23' 27.600"" W",101,107,140,133,129,233,413,413,485,199,,576,490,POINT (-122.39098 37.780617),31,31,1,10,8
