CNN,STREET1,STREET2,STREET3,STREET4,SIG_NUM,SYSTEM_NUM,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
24101000,24TH ST,VALENCIA,,,1395,22,POINT (-122.420654 37.752098),53,3,2,20,53
24342000,14TH ST,SOUTH VAN NESS,,,0780,22D,POINT (-122.417786 37.768402),53,3,2,20,53
24372000,14TH ST,MISSION,,,0775,22,POINT (-122.41997 37.76827),53,3,2,20,53
24153000,20TH ST,VALENCIA,,,1220,22,POINT (-122.42126 37.758495),53,3,2,20,53
25958000,FULTON,LAGUNA,,,3750,01,POINT (-122.42663 37.778324),22,4,11,9,22
25574000,HYDE,NORTH POINT,,,4325,11A,POINT (-122.42036 37.805714),99,6,6,32,99
26042000,FULTON,STEINER,,,3780,01S,POINT (-122.433205 37.777485),23,4,11,9,23
23991000,23RD ST,FOLSOM,,,1315,22G,POINT (-122.41422 37.754093),53,3,2,20,53
24126000,18TH ST,FOLSOM,,,0985,22A,POINT (-122.414986 37.762093),53,3,2,20,53
24160000,18TH ST,VALENCIA,,,1015,22,POINT (-122.42156 37.761696),53,3,2,20,53
27562000,ARGUELLO,EUCLID,,,1730,14,POINT (-122.45903 37.78382),11,8,6,31,11
24183000,16TH ST,VALENCIA,,,0895,22,POINT (-122.421875 37.76491),53,3,2,20,53
25835000,14TH ST,GUERRERO,,,0770,22E,POINT (-122.4244 37.768),37,3,5,20,37
27578000,ARGUELLO,LAKE,SACRAMENTO,,1745,14,POINT (-122.45927 37.786907),4,8,6,31,4
25480000,NORTH POINT,POWELL,,,4957,11A,POINT (-122.412125 37.80675),99,6,3,23,99
24138000,16TH ST,FOLSOM,,,0855,22A,POINT (-122.4153 37.76531),53,3,2,20,53
24115000,22ND ST,VALENCIA,,,1285,22,POINT (-122.42095 37.75529),53,3,2,20,53
24378000,14TH ST,VALENCIA,,,0785,22,POINT (-122.42219 37.768135),53,3,2,20,53
24077000,22ND ST,FOLSOM,,,1265,22G,POINT (-122.414375 37.755695),53,3,2,20,53
24347000,FOLSOM,12TH,,,0705,01G,POINT (-122.414986 37.77089),32,1,10,20,32
24229000,11TH ST,HARRISON,,,0690,01G,POINT (-122.41247 37.770626),32,1,10,34,32
25589000,LARKIN,NORTH POINT,,,4590,11A,POINT (-122.422 37.805492),98,6,6,32,98
25481000,MASON,NORTH POINT,,,4775,11A,POINT (-122.41377 37.80655),99,6,3,23,99
24158000,19TH ST,VALENCIA,,,1160,22,POINT (-122.42141 37.760098),53,3,2,20,53
24134000,17TH ST,FOLSOM,,,0925,22A,POINT (-122.41514 37.76369),53,3,2,20,53
24119000,21ST ST,VALENCIA,,,1250,22,POINT (-122.421104 37.756897),53,3,2,20,53
24174000,17TH ST,VALENCIA,,,0950,22,POINT (-122.421715 37.763294),53,3,2,20,53
27232000,ARGUELLO,CLEMENT,,,1725,14,POINT (-122.458984 37.783184),11,8,6,31,11
23990000,24TH ST,FOLSOM,,,1365,22G,POINT (-122.41407 37.752502),53,3,2,20,53
24336000,14TH ST,FOLSOM,,,0765,22D,POINT (-122.4156 37.76853),53,3,2,20,53
25478000,NORTH POINT,STOCKTON,,,4958,11A,POINT (-122.410484 37.806957),99,6,3,23,99
24238000,11TH ST,FOLSOM,,,0685,01G,POINT (-122.41402 37.77186),32,1,10,34,32
25592000,NORTH POINT,TAYLOR,,,4960,11A,POINT (-122.41542 37.80634),99,6,3,23,99
24335000,15TH ST,FOLSOM,,,0800,22,POINT (-122.41545 37.766933),53,3,2,20,53
24122000,20TH ST,FOLSOM,,,1190,22,POINT (-122.41468 37.758892),53,3,2,20,53
25593000,JONES,NORTH POINT,,,4437,11A,POINT (-122.41706 37.806137),99,6,3,23,99
24097000,25TH ST,VALENCIA,,,1465,22G,POINT (-122.420494 37.7505),53,3,2,20,53
24106000,23RD ST,VALENCIA,,,1340,22,POINT (-122.4208 37.753696),53,3,2,20,53
26704000,NORTH POINT,POLK,,,4955,11A,POINT (-122.423645 37.805283),98,6,6,32,98
25965000,FILLMORE,FULTON,,,3455,01S,POINT (-122.431564 37.777695),22,4,11,9,22
25956000,FULTON,WEBSTER,,,3785,01S,POINT (-122.42983 37.777916),22,4,11,9,22
25871000,14TH ST,DOLORES,,,0760,22E,POINT (-122.42668 37.767864),37,3,5,20,37
25573000,COLUMBUS,LEAVENWORTH,NORTH POINT,,2880,11A,POINT (-122.418365 37.805973),99,6,3,23,99
27566000,ARGUELLO,CALIFORNIA,,,1720,14,POINT (-122.45917 37.785675),11,8,6,31,11
24123000,19TH ST,FOLSOM,,,1135,22A,POINT (-122.414825 37.760494),53,3,2,20,53
24353000,11TH ST,HOWARD,,,0695,01G,POINT (-122.41555 37.773094),32,1,10,34,32
24079000,21ST ST,FOLSOM,,,1230,22G,POINT (-122.41453 37.757294),53,3,2,20,53
