geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.362687924 37.8118959065),37.81189591,-122.3626879,2008,"{""type"":""Point"",""coordinates"":[-122.362687924,37.8118959065]}",0,1,0,1,0,0,0,1,0,0,0,1,"['HARRIET LN', 'HEALY AVE', 'NORTH GATE RD']",0,0,0,0,0,0
POINT(-122.362687924 37.8118959065),37.81189591,-122.3626879,2010,"{""type"":""Point"",""coordinates"":[-122.362687924,37.8118959065]}",0,1,0,0,0,0,1,0,0,0,0,0,"['HARRIET LN', 'HEALY AVE', 'NORTH GATE RD']",0,1,0,0,1,0
POINT(-122.363147334 37.8119019961),37.811902,-122.3631473,2011,"{""type"":""Point"",""coordinates"":[-122.363147334,37.8119019961]}",0,1,0,0,0,0,0,1,0,0,0,0,"['I-80 E ON RAMP', 'I-80 EASTBOUND']",0,1,0,0,0,1
POINT(-122.363742766 37.8235744254),37.82357443,-122.3637428,2016,"{""type"":""Point"",""coordinates"":[-122.363742766,37.8235744254]}",1,0,0,0,0,1,0,0,0,0,0,0,"['04TH TI ST', 'AVENUE N']",1,0,0,1,0,0
POINT(-122.367433795 37.8078191921),37.80781919,-122.3674338,2014,"{""type"":""Point"",""coordinates"":[-122.367433795,37.8078191921]}",0,1,0,0,0,0,1,0,0,0,0,0,"['I-80 W ON RAMP', 'I-80 WESTBOUND']",0,1,0,0,1,0
POINT(-122.369060911 37.8187490198),37.81874902,-122.3690609,2007,"{""type"":""Point"",""coordinates"":[-122.369060911,37.8187490198]}",1,0,0,0,0,1,0,0,0,0,0,0,"['AVENUE D', 'CALIFORNIA AVE']",1,0,0,1,0,0
POINT(-122.369540922 37.7294740253),37.72947403,-122.3695409,2015,"{""type"":""Point"",""coordinates"":[-122.369540922,37.7294740253]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'HUDSON AVE']",0,1,0,0,1,0
POINT(-122.370145384 37.7288061449),37.72880614,-122.3701454,2014,"{""type"":""Point"",""coordinates"":[-122.370145384,37.7288061449]}",0,1,0,0,0,0,1,0,0,0,0,0,"['DONAHUE ST', 'INNES AVE']",0,1,0,0,1,0
POINT(-122.37038772 37.8181870341),37.81818703,-122.3703877,2006,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.37038772 37.8181870341),37.81818703,-122.3703877,2012,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.37038772 37.8181870341),37.81818703,-122.3703877,2016,"{""type"":""Point"",""coordinates"":[-122.37038772,37.8181870341]}",0,1,0,0,0,0,0,1,0,0,0,0,"['AVENUE C', 'CALIFORNIA AVE']",0,1,0,0,0,1
POINT(-122.373157914 37.7286385376),37.72863854,-122.3731579,2006,"{""type"":""Point"",""coordinates"":[-122.373157914,37.7286385376]}",1,0,0,0,0,1,0,0,0,0,0,0,"['EARL ST', 'KIRKWOOD AVE']",1,0,0,1,0,0
POINT(-122.373890404 37.8275594309),37.82755943,-122.3738904,2010,"{""type"":""Point"",""coordinates"":[-122.373890404,37.8275594309]}",1,0,0,0,0,1,0,0,0,0,0,0,"['13TH TI ST', 'AVENUE E']",1,0,0,1,0,0
