cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,cls_hcm85,year,period,auto_speed,los_hcm85,auto_bi,transit_speed,transit_sd,transit_cv,atspd_ratio
53,Broadway,Larkin,Gough,W,0.363564254544,3,2019,AM,15.732302511491572,C,36.00,,,,
60,Castro/Divisadero,Market,14th,N,0.322082953500,3,1999,PM,12.1,D,,,,,
97,Folsom,8th,4th,E,0.687212732205,3,2007,AM,13.3286540146835,C,,,,,
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2007,AM,28.8752929024999,A,,,,,
133,Harrison,4th,8th,W,0.686806802129,3,2009,PM,11.5981732958801,D,,9.47814053383,,,1.2236760211017277
125,Gough,Geary,Golden Gate,S,0.330297793857,3,2019,PM,7.967959076112231,E,56.00,,,,
103,Fulton,Park Presidio,10th Ave,E,0.204862455561,3,2017,AM,18.3,C,40.00,,,,
39,Bayshore,Jerrold,Industrial,S,0.802763976744,3,2001,AM,17.5,C,,,,,
62,Castro/Divisadero,Geary,Pine,N,0.265206469451,3,1995,PM,13.5,C,,,,,
155,Market/Portola,Guerrero,Van Ness,E,0.431522394244,3,2009,AM,16.0158223007067,C,,,,,
62,Castro/Divisadero,Geary,Pine,N,0.265206469451,3,2006,PM,7.5,E,,5.5,,,1.3636363636363636
60,Castro/Divisadero,Market,14th,N,0.322082953500,3,1991,PM,7.7,E,,,,,
45,Brannan,6th,Division,W,0.544046730846,3,2011,PM,8.84755614593537,E,,,,,
206,Sloat,Skyline,Junipero Serra,E,1.37751577085,1,2011,AM,18.9666189117365,D,,13.19,3.1,23.50265352539802881000,1.4379544284864670
229,Washington,Drumm,Kearny,W,0.443557749998,3,2015,PM,9.051428571428563,D,,,,,
197,Pine,Kearny,Leavenworth,W,0.628422823943,3,2011,PM,16.1788251695989,C,,,,,
114,Geary,Arguello,25th Ave,W,1.42315966319,3,2015,AM,14.2,C,,8.9,0.6,6.74157303370786516900,1.5955056179775281
121,Geneva,Cayuga,Ocean,W,0.527710560386,3,2007,PM,6.9199974528124,F,,,,,
211,Sutter,Market,Mason,W,0.564249764960,3,2017,PM,8.0,E,32.00,6.3,0.623085302,9.89024288888888888900,1.2698412698412698
66,Cesar Chavez,Guerrero,Bryant,E,0.755057869522,3,2017,PM,9.9,D,36.00,6.5,1.053782481,16.21203816923076923100,1.5230769230769231
41,Beale/Davis,Clay,Mission,S,0.324642787669,3,1993,PM,13.4,C,,,,,
128,Guerrero/San Jose,29th,Cesar Chavez,N,0.285708016388,3,2021,PM,14.014,C,16.00,,,,
218,Turk,Hyde,Gough,W,0.456299639356,3,2017,PM,9.9,D,31.00,,,,
98,Folsom,4th,1st,E,0.515704432606,3,2015,PM,6.4,F,,,,,
69,Cesar Chavez,3rd,Kansas,W,0.797391648337,3,2011,AM,23.0423382065514,B,,7.75,3.08,39.74193548387096774200,2.9732049298776000
80,Doyle/Lombard/Richardson,Van Ness,Lyon/Francisco,W,1.29004337304,3,2015,PM,13.3,C,,8.1,2.0,24.69135802469135802500,1.6419753086419753
105,Fulton,Arguello,Masonic,E,0.659455079392,3,2021,AM,17.636,C,13.00,11.317115994359764,2.482313681809172,21.93415427610983280300,1.5583475515130752
72,Clay,Kearny,Davis,E,0.378528736482,3,1991,AM,11.7,D,,,,,
121,Geneva,Cayuga,Ocean,W,0.527710560386,3,2011,AM,8.82227301007722,E,,7.25,2.21,30.48275862068965517200,1.2168652427692717
165,Masonic,Presidio,Geary,S,0.292435985410,3,1993,PM,9.3,D,,,,,
47,Broadway,Larkin,Powell,E,0.547817354303,1,2007,PM,31.8168491711153,B,,,,,
210,Sutter,Divisadero,Gough,E,0.822182703122,3,1993,PM,15.4,C,,,,,
175,Mission/Otis,9th,14th,S,0.682812825019,3,2019,AM,9.071187276174426,D,55.00,,,,
7,3rd St,Terry Francois,Evans,S,2.36056503215,3,2001,AM,23.8,B,,,,,
9,4th St/Stockton,O'Farrell,Harrison,S,0.564055637017,3,1995,PM,10.5,D,,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2004,AM,11.2,D,,,,,
72,Clay,Kearny,Davis,E,0.378528736482,3,2001,AM,10.6,D,,,,,
28,19th Ave/Park Presidio,Lake,Lincoln,S,1.84601372457,3,2011,AM,28.0520733621817,A,,15.63,2.71,17.33845169545745361500,1.7947583725004287
25,19th Ave/Park Presidio,Lincoln,Lake,N,1.84601264148,3,2017,PM,19.3,B,153.00,11.6,1.765102897,15.21640428448275862100,1.6637931034482759
