Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Here In Spirit,Jim James,1,9,,1,2,9,1,4,1,1,3,,2,13,2,1,5,3,1,1,10,5,12,3,2,6,5,1,,,20,2,,,,1,1,,1,12,1,9,1,1,5,1,2,4,,1,1,1,12,1,1,2,,,5,,19,3,2,4,3,17,3,2,2,2,2,13,3,,,9,4,13,7,4,2,3,,2,19,,5,,1,8,4,1,3,2,,5,20,1,3,17,9,,1,5,1,5,,1,14,,2,,7,5,5,,2,1,5,2,,1,6,4,,6,2,,8,2,9,2,3,,3,5,3,7,,1,3,,2,2,3,4,17,12,1,7,4,6,1,7,1,12,10,8,11,,4,7,6,3,3,3,5,1,,1,9,,,5,1,5,6,1,19,6,1,4,3,2,1,3,3,3,8,1,,3,1,14,1,11,2,5,18,1,
abcdefu,GAYLE,2,16,5,,,13,17,,5,,,,,16,,6,,10,,,5,,10,8,,,,18,,,,,19,13,,,,,,9,17,15,18,11,16,17,12,8,,9,,,9,,18,18,,,11,,12,19,10,12,13,6,18,,10,,20,,,17,5,14,18,18,3,,12,17,,19,,19,,7,12,,7,,,12,12,4,11,6,14,,16,14,,,,14,,,,,,,,8,20,14,19,15,10,,20,,20,16,8,,,5,,,3,,10,,11,,,10,,18,11,2,8,19,19,,5,2,,,10,5,,,,5,,9,1,,,8,20,,,9,,15,8,12,,3,,4,13,3,11,16,13,9,8,,,,,12,,,18,18,8,15,,7,,12,16,15,8,,
Oh My God,Adele,3,,,,,10,,,12,,,,,11,,5,,,,18,7,,6,6,,,17,,,,,,,4,,,,,,,20,,20,,,15,,,,12,,,4,15,19,13,,,,,,20,,13,5,,,18,,,,2,,,3,,9,,17,,,,,15,,12,,5,14,,18,19,,11,13,10,13,10,,16,,4,,,,,,,,,,19,,15,,11,,18,11,,19,,15,,12,,,7,10,,10,20,7,,18,20,,13,,20,14,9,,,17,,15,,,,,,,,13,19,,14,7,,,,,,,19,,,11,18,,10,,11,15,13,9,20,,14,16,,,,,,,,13,9,18,,,9,,2,20,16,,11,15
Ca Plane Pour Moi,Plastic Bertrand,4,,19,4,8,,5,5,3,4,19,,4,,9,10,20,6,,16,,,2,4,4,5,18,5,,,,9,,6,,7,17,,5,11,4,,5,3,,7,4,5,,3,8,8,,10,5,12,,,4,,,9,9,3,,16,5,8,6,5,11,3,12,,,8,11,12,10,,,16,,10,,,11,19,9,,,4,20,10,16,12,,,5,11,19,,11,6,10,11,,4,,6,1,,,12,9,,5,2,8,,,5,7,8,,10,14,17,13,4,,12,13,,,6,6,15,,3,12,,18,12,4,5,20,,10,14,16,8,10,9,3,,,11,,,6,13,9,4,5,4,7,4,,3,,6,,9,7,18,10,4,,10,3,8,9,6,4,6,10,9,15,20,,,11,,6,10,10,4,,3,
THATS WHAT I WANT,Lil Nas X,5,,,14,,,13,,,,,,,,,,,,,8,18,,,20,,,,,,,,,14,14,,,,,,17,,,,,,,,,,10,,,,18,,20,,17,16,,,,12,,16,,,3,,,,,,,,5,20,,12,,,,14,,,20,,10,,,,20,,,5,,15,,19,,,18,,,,,,,,16,,,,,,,,14,,,,,,,,,,,,,11,,16,,,,,,,,,8,,,,,12,,,2,12,,,,20,,,,10,,,16,,,,,,,5,,,5,,,19,8,,,,13,,,,,,,,17,,,13,,,11,,,14,,,5,
Watercolor Eyes (From “Euphoria” An HBO Original Series),Lana Del Rey,6,,2,2,1,1,3,1,4,2,6,,1,1,3,9,4,1,,9,,15,,1,1,1,3,2,,1,4,7,20,11,,3,3,,2,2,5,2,4,2,10,3,1,2,,7,3,2,17,11,4,4,2,,2,,1,2,3,1,2,1,1,1,1,3,1,6,1,1,,3,3,3,6,3,,5,,9,10,,1,2,2,11,5,7,1,6,6,2,1,12,1,1,2,,13,1,3,1,,5,6,1,11,1,14,1,3,,1,3,3,6,1,2,1,3,,1,5,,1,1,7,1,8,,2,1,1,1,,2,5,6,,15,2,1,2,4,4,1,5,1,4,1,2,11,,1,8,,1,1,1,1,1,1,4,9,6,2,12,15,16,2,6,,2,10,1,4,4,2,4,1,2,2,2,6,1,4,,5,3,,2,4,4,3,1,15,1
Beggin',Måneskin,7,,,11,19,15,18,12,13,11,,3,17,,,11,,7,,2,,,,18,13,17,,,,,,,,17,,,,,18,,,,,15,,,,20,3,16,,,20,,14,,,,,12,,8,5,9,,5,,,,,,17,,,,16,,,,,,,,18,,,,6,,,,18,,,9,20,,,,,,9,,,,,,14,,,19,,,18,,18,,,17,,,,18,,,,,,19,19,15,,11,,12,,,19,,14,,16,,20,9,14,,18,,8,18,19,,,,,,,9,,9,18,,15,,,,,,10,,,,13,11,,13,,,20,10,,,,14,9,,20,12,,,,,,19,20,,7,,,
a Lot,21 Savage,8,11,,16,,,15,15,19,7,16,,7,,19,20,7,12,,11,,,13,,10,19,,10,,,,18,,,,6,11,,10,,9,,10,12,,13,8,,8,6,7,9,15,17,6,15,,,7,17,,17,,,,9,20,12,5,19,10,4,,,,11,16,14,15,19,,10,,,,,13,,8,10,20,6,,13,10,7,,8,11,,,,5,19,4,12,,7,4,3,,,9,,,,9,8,9,9,15,7,,11,,,,,,8,,9,14,,,13,16,20,,6,10,17,,,8,9,18,3,5,9,,,12,18,14,,6,,,,7,,16,9,12,14,13,13,,8,,,,,9,,,5,,,17,15,15,12,,,,18,,5,,14,13,,9,,,,11,18,
Can I Kick It?,A Tribe Called Quest,9,,,17,,,,14,18,17,,,12,,,19,,17,,14,,,17,13,15,,,6,,,,16,10,,,8,,,20,,14,18,17,,,18,18,,9,11,,18,,,12,,,,8,,,,,,,2,,,13,18,,19,,,,12,17,7,5,,20,15,,,,,,,,,,15,,15,11,,,,,,,,19,,,,,9,17,8,,,,,,,14,6,14,,,13,19,,,,,,,9,,19,,,,,,,,10,7,,,,11,19,,6,8,,,,16,,17,,,,18,,,,,14,16,,9,3,,14,,13,,,17,,,12,,,20,13,,19,12,,,16,,,,,18,,16,,,11,,,
Fumando Mota,Los Lara,10,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,3,,
