Importance Score,Song Name,Artist,Rank in Top US Chart,Number of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
6.33,Watercolor Eyes (From “Euphoria” An HBO Original Series),Lana Del Rey,1.0,173,True,6.0,,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,6.0,,1.0,1.0,3.0,9.0,4.0,1.0,,9.0,,15.0,,1.0,1.0,1.0,3.0,2.0,,1.0,4.0,7.0,20.0,11.0,,3.0,3.0,,2.0,2.0,5.0,2.0,4.0,2.0,10.0,3.0,1.0,2.0,,7.0,3.0,2.0,17.0,11.0,4.0,4.0,2.0,,2.0,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,,3.0,3.0,3.0,6.0,3.0,,5.0,,9.0,10.0,,1.0,2.0,2.0,11.0,5.0,7.0,1.0,6.0,6.0,2.0,1.0,12.0,1.0,1.0,2.0,,13.0,1.0,3.0,1.0,,5.0,6.0,1.0,11.0,1.0,14.0,1.0,3.0,,1.0,3.0,3.0,6.0,1.0,2.0,1.0,3.0,,1.0,5.0,,1.0,1.0,7.0,1.0,8.0,,2.0,1.0,1.0,1.0,,2.0,5.0,6.0,,15.0,2.0,1.0,2.0,4.0,4.0,1.0,5.0,1.0,4.0,1.0,2.0,11.0,,1.0,8.0,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,6.0,2.0,12.0,15.0,16.0,2.0,6.0,,2.0,10.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,,5.0,3.0,,2.0,4.0,4.0,3.0,1.0,15.0,1.0
7.66,Here In Spirit,Jim James,2.0,166,True,1.0,9.0,,1.0,2.0,9.0,1.0,4.0,1.0,1.0,3.0,,2.0,13.0,2.0,1.0,5.0,3.0,1.0,1.0,10.0,5.0,12.0,3.0,2.0,6.0,5.0,1.0,,,20.0,2.0,,,,1.0,1.0,,1.0,12.0,1.0,9.0,1.0,1.0,5.0,1.0,2.0,4.0,,1.0,1.0,1.0,12.0,1.0,1.0,2.0,,,5.0,,19.0,3.0,2.0,4.0,3.0,17.0,3.0,2.0,2.0,2.0,2.0,13.0,3.0,,,9.0,4.0,13.0,7.0,4.0,2.0,3.0,,2.0,19.0,,5.0,,1.0,8.0,4.0,1.0,3.0,2.0,,5.0,20.0,1.0,3.0,17.0,9.0,,1.0,5.0,1.0,5.0,,1.0,14.0,,2.0,,7.0,5.0,5.0,,2.0,1.0,5.0,2.0,,1.0,6.0,4.0,,6.0,2.0,,8.0,2.0,9.0,2.0,3.0,,3.0,5.0,3.0,7.0,,1.0,3.0,,2.0,2.0,3.0,4.0,17.0,12.0,1.0,7.0,4.0,6.0,1.0,7.0,1.0,12.0,10.0,8.0,11.0,,4.0,7.0,6.0,3.0,3.0,3.0,5.0,1.0,,1.0,9.0,,,5.0,1.0,5.0,6.0,1.0,19.0,6.0,1.0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,8.0,1.0,,3.0,1.0,14.0,1.0,11.0,2.0,5.0,18.0,1.0,
8.61,Cold Heart (PNAU Remix),Elton John & Dua Lipa,3.0,173,True,15.0,,16.0,10.0,4.0,3.0,6.0,6.0,6.0,18.0,,,11.0,6.0,17.0,2.0,9.0,5.0,16.0,4.0,1.0,18.0,4.0,2.0,6.0,3.0,1.0,3.0,,2.0,2.0,1.0,13.0,1.0,,,,,7.0,5.0,15.0,10.0,11.0,6.0,8.0,11.0,3.0,1.0,12.0,2.0,,11.0,1.0,7.0,8.0,7.0,14.0,,20.0,,4.0,1.0,4.0,10.0,,,6.0,13.0,8.0,1.0,8.0,5.0,2.0,2.0,20.0,2.0,5.0,2.0,2.0,,16.0,7.0,2.0,1.0,5.0,2.0,9.0,1.0,11.0,,2.0,5.0,,4.0,4.0,3.0,7.0,2.0,15.0,4.0,1.0,1.0,17.0,7.0,14.0,4.0,20.0,16.0,18.0,14.0,,2.0,19.0,2.0,1.0,1.0,11.0,16.0,18.0,11.0,2.0,,2.0,5.0,,3.0,,,4.0,12.0,1.0,11.0,4.0,11.0,1.0,4.0,9.0,2.0,,12.0,1.0,3.0,,1.0,7.0,3.0,1.0,10.0,,10.0,3.0,4.0,19.0,5.0,5.0,2.0,,2.0,14.0,,,3.0,5.0,12.0,4.0,2.0,12.0,2.0,2.0,6.0,7.0,11.0,12.0,1.0,4.0,2.0,1.0,18.0,3.0,1.0,2.0,5.0,1.0,4.0,6.0,1.0,,2.0,2.0,13.0,1.0,12.0,16.0,2.0,17.0,1.0,6.0,2.0,5.0,4.0,2.0
9.63,Never Tear Us Apart,INXS,4.0,157,True,,,10.0,3.0,3.0,5.0,10.0,3.0,14.0,5.0,7.0,,3.0,5.0,8.0,,1.0,2.0,,6.0,15.0,16.0,,17.0,3.0,2.0,6.0,4.0,,12.0,19.0,,,19.0,,2.0,4.0,,4.0,4.0,8.0,4.0,9.0,5.0,11.0,6.0,7.0,3.0,,,9.0,5.0,,6.0,2.0,14.0,,,1.0,,2.0,,1.0,2.0,,,7.0,7.0,3.0,4.0,5.0,,4.0,6.0,,6.0,7.0,4.0,9.0,5.0,10.0,6.0,,8.0,,,4.0,14.0,6.0,14.0,11.0,10.0,14.0,16.0,2.0,11.0,8.0,5.0,2.0,3.0,5.0,,10.0,2.0,7.0,2.0,,3.0,1.0,2.0,5.0,14.0,,4.0,4.0,,4.0,5.0,1.0,,9.0,3.0,3.0,2.0,,2.0,6.0,,2.0,3.0,16.0,4.0,12.0,,8.0,3.0,4.0,5.0,,5.0,6.0,,11.0,,5.0,2.0,7.0,,2.0,4.0,6.0,2.0,3.0,2.0,7.0,17.0,8.0,7.0,,,3.0,2.0,2.0,2.0,2.0,5.0,3.0,16.0,12.0,5.0,13.0,,,3.0,8.0,,3.0,8.0,11.0,7.0,5.0,1.0,7.0,3.0,3.0,5.0,15.0,10.0,3.0,16.0,,18.0,6.0,,3.0,8.0,8.0,1.0,4.0,16.0,12.0
10.6,Big Energy,Latto,5.0,161,True,,18.0,1.0,13.0,6.0,4.0,7.0,2.0,11.0,13.0,15.0,,15.0,2.0,18.0,14.0,11.0,,7.0,19.0,6.0,10.0,5.0,5.0,12.0,14.0,7.0,14.0,,3.0,,5.0,4.0,7.0,,15.0,,,,3.0,3.0,,13.0,20.0,17.0,5.0,6.0,6.0,5.0,,18.0,16.0,5.0,9.0,11.0,3.0,,,,,7.0,13.0,13.0,7.0,,8.0,11.0,,7.0,10.0,6.0,11.0,6.0,3.0,1.0,1.0,2.0,1.0,8.0,,9.0,20.0,1.0,13.0,6.0,1.0,17.0,11.0,,13.0,8.0,,,1.0,,9.0,19.0,3.0,6.0,7.0,3.0,2.0,8.0,4.0,5.0,7.0,13.0,17.0,,,,4.0,6.0,3.0,18.0,2.0,8.0,11.0,,4.0,3.0,10.0,8.0,7.0,,13.0,8.0,,,13.0,5.0,6.0,2.0,,13.0,2.0,5.0,3.0,,7.0,,,10.0,7.0,,10.0,6.0,5.0,,3.0,1.0,3.0,7.0,3.0,15.0,3.0,,3.0,6.0,,12.0,6.0,8.0,7.0,14.0,6.0,6.0,14.0,1.0,,5.0,8.0,,16.0,20.0,1.0,5.0,7.0,2.0,3.0,18.0,18.0,6.0,9.0,5.0,4.0,13.0,4.0,4.0,12.0,7.0,10.0,10.0,1.0,,14.0,5.0,6.0,15.0,2.0,3.0
12.44,Ca Plane Pour Moi,Plastic Bertrand,8.0,140,True,4.0,,19.0,4.0,8.0,,5.0,5.0,3.0,4.0,19.0,,4.0,,9.0,10.0,20.0,6.0,,16.0,,,2.0,4.0,4.0,5.0,18.0,5.0,,,,9.0,,6.0,,7.0,17.0,,5.0,11.0,4.0,,5.0,3.0,,7.0,4.0,5.0,,3.0,8.0,8.0,,10.0,5.0,12.0,,,4.0,,,9.0,9.0,3.0,,16.0,5.0,8.0,6.0,5.0,11.0,3.0,12.0,,,8.0,11.0,12.0,10.0,,,16.0,,10.0,,,11.0,19.0,9.0,,,4.0,20.0,10.0,16.0,12.0,,,5.0,11.0,19.0,,11.0,6.0,10.0,11.0,,4.0,,6.0,1.0,,,12.0,9.0,,5.0,2.0,8.0,,,5.0,7.0,8.0,,10.0,14.0,17.0,13.0,4.0,,12.0,13.0,,,6.0,6.0,15.0,,3.0,12.0,,18.0,12.0,4.0,5.0,20.0,,10.0,14.0,16.0,8.0,10.0,9.0,3.0,,,11.0,,,6.0,13.0,9.0,4.0,5.0,4.0,7.0,4.0,,3.0,,6.0,,9.0,7.0,18.0,10.0,4.0,,10.0,3.0,8.0,9.0,6.0,4.0,6.0,10.0,9.0,15.0,20.0,,,11.0,,6.0,10.0,10.0,4.0,,3.0,
12.77,Hrs and Hrs,Muni Long,6.0,113,True,,,4.0,9.0,10.0,12.0,2.0,,,10.0,1.0,,,12.0,1.0,,2.0,,,,,1.0,,,17.0,,8.0,,,14.0,,20.0,,15.0,,10.0,2.0,,3.0,,10.0,3.0,6.0,,1.0,2.0,14.0,,,14.0,2.0,4.0,11.0,2.0,,1.0,,1.0,,,,4.0,14.0,,,,15.0,,12.0,6.0,4.0,15.0,,11.0,,,1.0,,,2.0,1.0,2.0,4.0,6.0,,,7.0,,3.0,1.0,1.0,3.0,,3.0,,,6.0,7.0,13.0,,8.0,12.0,3.0,,2.0,15.0,1.0,,,,10.0,,1.0,,6.0,7.0,6.0,,,1.0,,9.0,5.0,1.0,,8.0,1.0,,,18.0,,7.0,,1.0,4.0,,2.0,,1.0,17.0,,,,3.0,,11.0,,11.0,3.0,,2.0,,2.0,12.0,9.0,4.0,3.0,,,,,,17.0,,,,,,3.0,,2.0,,1.0,,2.0,10.0,4.0,2.0,14.0,8.0,,7.0,5.0,8.0,,13.0,18.0,5.0,,2.0,,1.0,2.0,3.0,4.0,6.0,1.0,,,9.0,
13.1,Super Gremlin,Kodak Black,7.0,130,True,,,9.0,15.0,5.0,17.0,,,,8.0,4.0,,19.0,14.0,4.0,15.0,6.0,,,,19.0,2.0,,,16.0,9.0,4.0,13.0,,6.0,,6.0,,5.0,,11.0,8.0,,9.0,15.0,7.0,7.0,14.0,,2.0,8.0,,9.0,,18.0,11.0,3.0,,3.0,,5.0,19.0,10.0,,,,6.0,20.0,,,,,,9.0,9.0,3.0,,11.0,5.0,12.0,,6.0,,14.0,12.0,4.0,9.0,5.0,5.0,,,2.0,,13.0,3.0,3.0,11.0,,7.0,,,4.0,4.0,9.0,5.0,18.0,7.0,4.0,,8.0,3.0,2.0,20.0,,,,6.0,4.0,7.0,7.0,3.0,13.0,,19.0,3.0,7.0,14.0,9.0,6.0,,7.0,11.0,,6.0,,,5.0,18.0,2.0,9.0,,7.0,8.0,5.0,19.0,,10.0,,6.0,,,,,13.0,,13.0,18.0,8.0,,,7.0,5.0,10.0,4.0,,,,4.0,,,,,18.0,17.0,,3.0,19.0,3.0,,,12.0,16.0,11.0,4.0,5.0,,14.0,2.0,10.0,,10.0,8.0,8.0,14.0,3.0,10.0,2.0,12.0,4.0,12.0,5.0,3.0,9.0,,8.0,
13.21,"R.A.P. Music"" Album Untitled""",Killer Mike,9.0,135,True,,,,5.0,9.0,,4.0,10.0,8.0,3.0,11.0,,5.0,,12.0,16.0,15.0,4.0,6.0,5.0,14.0,,11.0,7.0,5.0,16.0,,7.0,,,,,,,,4.0,6.0,,6.0,,6.0,,2.0,4.0,18.0,4.0,20.0,,,8.0,10.0,7.0,6.0,13.0,3.0,9.0,,,3.0,,,7.0,11.0,19.0,,7.0,9.0,4.0,4.0,14.0,12.0,,10.0,,,,13.0,19.0,4.0,8.0,5.0,11.0,,20.0,,,12.0,,7.0,6.0,14.0,8.0,,5.0,1.0,14.0,,17.0,7.0,,15.0,,6.0,13.0,6.0,13.0,,2.0,11.0,,8.0,,12.0,20.0,,,3.0,4.0,2.0,,,4.0,,10.0,9.0,19.0,12.0,,17.0,5.0,18.0,8.0,1.0,,,11.0,10.0,,,4.0,2.0,20.0,,,6.0,6.0,11.0,20.0,6.0,11.0,8.0,,5.0,,4.0,18.0,,,5.0,,11.0,12.0,13.0,6.0,6.0,11.0,10.0,7.0,,7.0,15.0,4.0,,8.0,5.0,17.0,19.0,3.0,,,7.0,16.0,10.0,5.0,7.0,20.0,20.0,12.0,19.0,7.0,,9.0,4.0,,5.0,,18.0,12.0,,10.0,
14.63,Bam Bam,Sister Nancy,12.0,126,True,,,,6.0,7.0,,8.0,9.0,15.0,6.0,12.0,,6.0,,10.0,3.0,10.0,11.0,,7.0,,,,15.0,7.0,4.0,11.0,9.0,,,,13.0,,,,9.0,9.0,,8.0,,13.0,6.0,8.0,9.0,,16.0,11.0,10.0,7.0,5.0,6.0,13.0,,20.0,9.0,11.0,,,14.0,,16.0,16.0,6.0,15.0,,3.0,4.0,6.0,18.0,8.0,17.0,,18.0,,,15.0,,11.0,,9.0,,4.0,19.0,14.0,,,10.0,,15.0,,16.0,12.0,9.0,20.0,3.0,18.0,9.0,16.0,16.0,,,,7.0,11.0,12.0,,,10.0,,5.0,13.0,,,,10.0,,7.0,9.0,4.0,,,11.0,13.0,,14.0,14.0,17.0,,7.0,6.0,,13.0,,,19.0,8.0,8.0,,,8.0,8.0,,3.0,18.0,10.0,8.0,,16.0,7.0,,7.0,,13.0,10.0,8.0,,,19.0,,,17.0,,14.0,5.0,7.0,13.0,8.0,5.0,,13.0,,,,,16.0,,14.0,13.0,16.0,,12.0,17.0,12.0,7.0,10.0,7.0,6.0,11.0,,,,16.0,14.0,,7.0,,13.0,13.0,13.0,17.0,
