Artist,Song Name,Rank in Top US Chart
Lana Del Rey,Watercolor Eyes (From “Euphoria” An HBO Original Series),1
Jim James,Here In Spirit,2
Elton John & Dua Lipa,Cold Heart (PNAU Remix),3
INXS,Never Tear Us Apart,4
Latto,Big Energy,5
Muni Long,Hrs and Hrs,6
Kodak Black,Super Gremlin,7
Plastic Bertrand,Ca Plane Pour Moi,8
Killer Mike,"R.A.P. Music"" Album Untitled""",9
Glass Animals,Heat Waves,10
Yung Lean,Ginseng Strip 2002,11
Sister Nancy,Bam Bam,12
Lauren Spencer-Smith,Fingers Crossed,13
21 Savage,a Lot,14
GAYLE,abcdefu,15
O.T. Genasis,I Look Good,16
NEIKED & Mae Muller Feat. Polo G,Better Days,17
Ed Sheeran,Shivers,18
Bobby Darin,Call Me Irresponsible,19
SZA,I Hate U,20
