Importance Score,Song Name,Artist,Number of Cities where Song Broke Top Chart,Broke US Top Chart,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
17.85,Scorpio,Moneybagg Yo,71,False,,13.0,7.0,11.0,,20.0,,,,,11.0,,,,11.0,,15.0,,,,,9.0,,,,,,,,7.0,,,,,,14.0,10.0,,,8.0,16.0,,12.0,,8.0,12.0,6.0,,,,,9.0,,,,10.0,,9.0,,,,,,,,,17.0,,20.0,,10.0,13.0,9.0,19.0,,,8.0,,,12.0,12.0,,,,,,8.0,,17.0,7.0,10.0,12.0,,13.0,,,16.0,14.0,,11.0,13.0,,20.0,,8.0,17.0,8.0,,,,,8.0,10.0,,,15.0,,,,11.0,12.0,,,13.0,,,6.0,,,13.0,,18.0,,5.0,,,,,,,,,,,,,,,18.0,,,18.0,8.0,,,,,15.0,,,,,13.0,,11.0,,,,,,6.0,,,,,,,,17.0,,,,11.0,17.0,,,,,,14.0,,10.0,5.0,7.0,19.0,9.0,18.0,,,19.0,
18.35,Pressure,Ari Lennox,50,False,,,,7.0,,,,,,13.0,6.0,,,,9.0,,9.0,,,,,3.0,,,,,,,,,,,,,,19.0,11.0,,14.0,,20.0,,9.0,,5.0,7.0,,,,,,,,18.0,,9.0,,3.0,,,,9.0,,,,,,,,,19.0,,,,,,10.0,,,15.0,7.0,8.0,,,,,16.0,,15.0,4.0,14.0,,,19.0,,,20.0,,,,,,15.0,,10.0,,3.0,,,,,,5.0,,,5.0,,,,8.0,,,,8.0,,,4.0,,,,,,,,,,10.0,,4.0,,,,,,,,,,10.0,,,,7.0,,,,3.0,,,,,,,,,,,,10.0,,18.0,,,,,,,11.0,,,,,,19.0,,,,,,,,15.0,4.0,5.0,17.0,,,,,8.0,
18.39,"R.A.P. Music"" Album Untitled""",Killer Mike,67,False,,,,,,,15.0,,19.0,3.0,,,8.0,,19.0,14.0,,18.0,,3.0,,,18.0,,7.0,17.0,,9.0,,,,,,,,5.0,,,19.0,19.0,12.0,,13.0,12.0,,15.0,,,,,,17.0,,,5.0,,,,7.0,,,,,15.0,,15.0,,17.0,11.0,,,,,,,,,16.0,10.0,,,,,,,,,,,,,20.0,,15.0,3.0,,,,,,,,13.0,,17.0,,,4.0,,,9.0,,,,,,12.0,7.0,5.0,,,6.0,,,9.0,,,,,12.0,,,16.0,,,,,,,14.0,10.0,,,,11.0,17.0,,,16.0,19.0,,,13.0,,12.0,,,,,,12.0,20.0,,13.0,14.0,18.0,20.0,20.0,,14.0,,18.0,,15.0,,,,12.0,,,16.0,,,18.0,14.0,,,17.0,,,,,,,10.0,,,14.0,,,
18.86,a Lot,21 Savage,63,False,6.0,,,,,,19.0,,,10.0,,,10.0,,,11.0,,14.0,,6.0,,,,,12.0,16.0,17.0,16.0,,,,,,,,9.0,,,15.0,,14.0,,18.0,,,18.0,18.0,,,,,19.0,,,12.0,,,,,19.0,,,,,,,,9.0,10.0,,,,,,,,,,,,,13.0,,,,,,,16.0,20.0,,13.0,,16.0,,19.0,,13.0,,,,,11.0,,12.0,,,6.0,17.0,11.0,,,,,,,16.0,13.0,14.0,,,9.0,,,,,,,20.0,15.0,,,,,,,,,,18.0,14.0,,,,13.0,19.0,,15.0,9.0,9.0,,,14.0,,,,14.0,,,,17.0,,,12.0,17.0,16.0,13.0,16.0,,13.0,,,,,,,,13.0,,,,,,20.0,20.0,,,16.0,,20.0,,,,,12.0,,,11.0,,,
19.0,Pepas,Farruko,48,False,,,19.0,,,18.0,20.0,13.0,,,,,15.0,9.0,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,15.0,,,,,,,,,,20.0,,20.0,,,,,,,,,18.0,,,,13.0,,,,,6.0,18.0,19.0,13.0,9.0,,,,,,,,,,,,,12.0,,,,17.0,,,,,,,,,15.0,15.0,,,15.0,,,,,,20.0,,5.0,,15.0,4.0,,,,,,6.0,,,,,,,,16.0,,,,,,9.0,17.0,,15.0,,,,,,3.0,,,,,,,,10.0,,6.0,,,,17.0,,,,,6.0,11.0,19.0,13.0,11.0,6.0,,,,,,,,,,,,,,8.0,10.0,10.0,,,,,9.0,,20.0,,,,,,,,,,14.0
19.01,Peru,Fireboy DML & Ed Sheeran,44,False,,,,,9.0,,13.0,,,,16.0,,,,6.0,9.0,,,,,,,,,13.0,7.0,4.0,6.0,,,,12.0,16.0,,,,18.0,,,,,,,,20.0,,,14.0,11.0,,8.0,,,,,,,,,,,,,,19.0,,,,,8.0,,,18.0,,,16.0,,,,9.0,18.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,5.0,,,8.0,18.0,,12.0,,,,,,15.0,,6.0,,,,,,,7.0,,11.0,,,17.0,,9.0,,20.0,,,,,,,,,,,,,,,,12.0,,,,,,,,12.0,,20.0,12.0,,,,,,16.0,,5.0,,,,,,,8.0,,10.0,13.0,,,
19.04,One Right Now,Post Malone & The Weeknd,59,False,,,,,,10.0,,,,,,,,19.0,,,,,,,18.0,,,16.0,17.0,,,,,14.0,,,20.0,10.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,17.0,,,,15.0,,,,13.0,,,,,,8.0,12.0,,15.0,,19.0,20.0,,,,,14.0,13.0,18.0,,,,,,,,,6.0,,,,,20.0,8.0,14.0,,,,,,,,14.0,,16.0,,6.0,,10.0,,,,,10.0,,19.0,,11.0,,,18.0,18.0,18.0,,16.0,,,,,,6.0,,,16.0,20.0,,,,14.0,20.0,,,13.0,,6.0,,,,15.0,,7.0,,,,15.0,18.0,,18.0,17.0,,,,,,,,14.0,,18.0,10.0,,11.0,11.0,20.0,,,,,,,,10.0,,18.0,,,,,13.0,,12.0,19.0,,
19.08,Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,52,False,,,9.0,,,7.0,,,13.0,,18.0,,20.0,11.0,,,14.0,,,,20.0,16.0,,,,,,,,9.0,,,,,,,14.0,,,,,,,,11.0,,,,,17.0,,14.0,,14.0,,,,,,,15.0,,,,17.0,,,,,,11.0,,,13.0,,,,,,,14.0,,,,,,5.0,,18.0,,19.0,,,,,,12.0,17.0,,13.0,,,,,,15.0,11.0,,,,,7.0,19.0,18.0,,9.0,,,,12.0,20.0,,,,,,17.0,,,,,11.0,,4.0,,,,14.0,,,,,,,,,,,20.0,,,,,14.0,,,,14.0,,,,,10.0,,,,17.0,,,,13.0,,,,15.0,,,,,,,,,8.0,,,,,20.0,13.0,,13.0,,8.0,,18.0,,,,,5.0
19.38,Meet Me At Our Spot,"THE ANXIETY, WILLOW & Tyler Cole",46,False,,,17.0,,,17.0,,18.0,10.0,,,,,20.0,,18.0,,,3.0,10.0,14.0,,7.0,12.0,,,,,,,,,10.0,14.0,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,17.0,,18.0,,,,,,,,,,,9.0,9.0,,,9.0,,,,19.0,,,,,15.0,,,,,,,,14.0,,,,,,10.0,,17.0,,,,,,,,,,10.0,,14.0,,,19.0,,,,,,,,,11.0,,,19.0,19.0,15.0,,,16.0,,19.0,,,,19.0,,,19.0,,18.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,11.0,,,,,,,,,9.0,,,,15.0,12.0,12.0,,,,,17.0,,,,,6.0
19.52,Rumors,Gucci Mane Feat. Lil Durk,35,False,,,,,,,,,,,17.0,,,,14.0,,,,15.0,,,10.0,,,,,,,,,,,,,,16.0,9.0,,6.0,,18.0,6.0,15.0,,,17.0,,,,13.0,,,,8.0,,17.0,,,,,,19.0,6.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,7.0,18.0,,16.0,,,12.0,,,,,,,,16.0,,14.0,,,,,,,,7.0,,,,17.0,,,,,15.0,,,,,8.0,,,,,,,3.0,,,17.0,,,,,,,,,,,,,,,,17.0,,,17.0,,,6.0,,,,,,,,,,,,,,,,5.0,,,,,,,14.0,,,,,,,,,,,,,,,19.0,,,,
19.62,Beggin',Måneskin,39,False,,,,13.0,,,,,12.0,11.0,,,,,,13.0,,9.0,,13.0,,,,,20.0,,20.0,18.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,19.0,,,,,,,13.0,11.0,7.0,8.0,6.0,,,,,,10.0,,,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,18.0,,,7.0,,,,,,,,,,,,,,,,16.0,,,,,17.0,8.0,13.0,,,16.0,,,14.0,,7.0,,,,,,,,,,,20.0,,,20.0,,,,,16.0,16.0,,19.0,,16.0,,,,,,,10.0,,,,16.0,19.0,,,,,,,,,,,,,,,13.0
19.81,'Til You Can't,Cody Johnson,27,False,,9.0,14.0,,,,,,,,,,,,,,,,8.0,7.0,3.0,,3.0,17.0,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,8.0,,,,,,,,19.0,,,,11.0,,,,,,,17.0,,,,11.0,,,,,17.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,10.0,,,,,,,,,,,,,,,12.0,,17.0,,,,,,,15.0,,9.0,,,,,,,,,,,,,2.0,,19.0,,8.0,,,,,,,,,,,,,,,,,,19.0,,,,,,10.0,
19.95,Big Subwoofer (Single Version),"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",21,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,10.0,,,,6.0,,,12.0,,,,,,,,11.0,,,,,,19.0,,,,,,,,,,,,10.0,8.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,17.0,12.0,,,,,,,,,,,,,,,,,10.0,,,,7.0,,,,,,5.0,,,13.0,18.0,,,,20.0,,,,,,,,,,,,,9.0,,,,,,,,5.0,,,,,,,,,,,,,,8.0
19.96,For Tonight,GIVĒON,36,False,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,17.0,,,,,19.0,,,,,,,,18.0,,,,4.0,,,,19.0,,,,,,,,,,,,,,,10.0,,,,,,,8.0,,,,18.0,16.0,16.0,,,,10.0,15.0,,,,,,,,,,,,12.0,20.0,,18.0,13.0,,,19.0,,17.0,,,,,,,,,,,,,13.0,14.0,17.0,,,,,,12.0,,,,,,,,,,,,,12.0,,,19.0,,,,13.0,15.0,,,17.0,,,18.0,11.0,,,,,,,,,,,,12.0,,,16.0,,,,,17.0,,,16.0,19.0,,,,,,,,,,19.0,,,,,,,,,,,
20.07,Do It to It,Acraze Feat. Cherish,28,False,17.0,,,,,,,20.0,,,,,,,,,,,5.0,,,,9.0,,,,,,,,,18.0,3.0,15.0,,,,,,,,,,18.0,,,,19.0,,15.0,,,,,,,,,,,11.0,,17.0,,,,,,,16.0,,,,,,,,,11.0,,,,5.0,,12.0,17.0,,,,,,14.0,,,,,,,,16.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,11.0,14.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,17.0,,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,20.0
20.14,TO THE MOON,Jnr Choi,20,False,,,,,10.0,,,,,,,,,,,,,,,,,,,,,8.0,10.0,,,,,14.0,,,,,,,,,,18.0,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,13.0,,,,11.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,13.0,,,,,9.0,,,,,,,,10.0,,,5.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,15.0,,,,,,,,,,,,,,,
20.15,Beautiful Lies,Yung Bleu & Kehlani,29,False,,,,,,,,,,,20.0,,,,17.0,,,,,,,14.0,,,,,,,,,,,,,,,17.0,,,,,15.0,,,13.0,,,,,,17.0,,,,,20.0,,18.0,,,,,,,,,,,,,,,,17.0,,,,,,,15.0,,14.0,,,,,,,12.0,15.0,,,,,,,,,,11.0,,,,11.0,,10.0,,,,,,,,,19.0,,,,,19.0,,,,,,14.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,20.0,12.0,,,19.0,16.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,12.0,17.0,14.0,,,,,,,
20.19,Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",29,False,,,12.0,17.0,,,,,,,,,,,,,10.0,,,,,17.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,20.0,,,16.0,,,,,,,,20.0,,,,,,,17.0,,,,,,,,13.0,,,,17.0,,15.0,,20.0,20.0,,,,10.0,,,,,,,,,,,,,,,,,12.0,,,,,,20.0,,,16.0,,,,15.0,,,,18.0,,,11.0,,,,,,,,,15.0,,,,,,12.0,,,,,,,,,,,19.0,,,,8.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,17.0,17.0
20.21,Brooklyn Love,Lolo Zouaï,21,False,,,,,,,,,,,,,13.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,4.0,19.0,,,,,,,16.0,,,,,,,,,,,,,,,,,,,2.0,,,15.0,7.0,,17.0,,,,,,,10.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,8.0,,,,,,,,,,,,,16.0,,15.0,17.0,,,,,,,,,,,,,,,,,,,,,17.0,,9.0,,19.0,,,,,,,,,,17.0,,
20.23,Ghost,Justin Bieber,27,False,,,,,17.0,,,,15.0,,,,,,,,,,,20.0,12.0,,14.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,5.0,,,,,,,,,,,,,,,16.0,,,,18.0,,,13.0,,,,,,,,,,19.0,13.0,,16.0,,,,,13.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,15.0,,,,,19.0,,19.0,,,,,,,3.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,19.0,20.0,,,,19.0,,,,,,,,,,19.0,,,18.0,,,,,,,19.0
20.33,Me or Sum,Nardo Wick Feat. Future & Lil Baby,15,False,,,,,,,,,,,9.0,,,,,,12.0,,,,,13.0,,,,,,,,,,,,,,15.0,12.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,12.0,,,,,,,10.0,,,,19.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,
20.35,Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,19,False,,,,,,,,,,,,,,,13.0,,,,,,,8.0,,,,,,,,,,,,,,,6.0,,,,,16.0,,,7.0,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,20.0,,,,,,,,13.0,,,,,,,,,,,,,,,20.0,,15.0,,,,,,17.0,,,,,,,18.0,,18.0,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,19.0,,,,,,,,
20.44,Enemy (From the series Arcane League of Legends),"Imagine Dragons, Arcane & League of Legends",18,False,18.0,,,,,,,,,,,,,,,,,,,,19.0,,,19.0,,,,,,,,,4.0,,,,,,,,,,16.0,16.0,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,19.0,,7.0,19.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,10.0,11.0,,,,,,,,,,,,,,14.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,17.0,,,,,14.0,,,,,
20.46,When I R.I.P.,Labrinth,12,False,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,5.0,,15.0,,,,,,,,13.0,,9.0,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,12.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.51,Need To Know,Doja Cat,17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,18.0,,,,,,,,,,,,,,,12.0,,20.0,,,,,,16.0,,,,,,,15.0,14.0,,,,16.0,,20.0,,,,,,,,,,,,,,20.0,4.0,,,13.0,,,,,,,,,,,,20.0,,,,,,,,,,,15.0,,
20.53,Easy On Me,Adele,16,False,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,12.0,,,,,,18.0,,,,,,,,,15.0,,,,,,,,,,,,,,,9.0,17.0,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,19.0,,,,,,,,,,15.0,12.0,,6.0,,,,,
20.54,Mujeriego,Ryan Castro,11,False,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,6.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,18.0,,,,7.0,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,
