Artist,Song Name,Rank in Top US Chart
Sinéad O'Connor,Drink Before The War,1
Scribz Riley,I Lied (Part 1),2
Yung Lean,Ginseng Strip 2002,3
Jim James,Here In Spirit,4
Elton John & Dua Lipa,Cold Heart (PNAU Remix),5
Latto,Big Energy,6
Muni Long,Hrs and Hrs,7
Kodak Black,Super Gremlin,8
O.T. Genasis,I Look Good,9
Glass Animals,Heat Waves,10
Lauren Spencer-Smith,Fingers Crossed,11
GAYLE,abcdefu,12
SZA,I Hate U,13
Lana Del Rey,Watercolor Eyes (From “Euphoria” An HBO Original Series),14
NEIKED & Mae Muller Feat. Polo G,Better Days,15
Ed Sheeran,Shivers,16
Plastic Bertrand,Ca Plane Pour Moi,17
Adele,Oh My God,18
Lil Nas X,THATS WHAT I WANT,19
INXS,Never Tear Us Apart,20
