CNN,STREET,ST_TYPE,NHOOD,CNNTEXT,STREETNAME,CROSS_STRE,CROSS_ST_1,FROM_ST,TO_ST,shape
515000,11TH,ST,South of Market,515000,11TH ST,FOLSOM ST,HARRISON ST,FOLSOM ST,HARRISON ST,"LINESTRING (-122.41402 37.77186, -122.41247 37.770626)"
514000,11TH,ST,South of Market,514000,11TH ST,BURNS PL,FOLSOM ST,BURNS PL,FOLSOM ST,"LINESTRING (-122.414375 37.772152, -122.41402 37.77186)"
512000,11TH,ST,South of Market,512000,11TH ST,HOWARD ST,KISSLING ST,HOWARD ST,KISSLING ST,"LINESTRING (-122.41555 37.773094, -122.414986 37.772644)"
513000,11TH,ST,South of Market,513000,11TH ST,KISSLING ST,BURNS PL,KISSLING ST,BURNS PL,"LINESTRING (-122.414986 37.772644, -122.414375 37.772152)"
591000,14TH,ST,Mission Dolores,591000,14TH ST,RAMONA AVE,ROSEMONT PL,RAMONA AVE,ROSEMONT PL,"LINESTRING (-122.42534 37.767944, -122.42552 37.767933)"
580000,14TH,ST,Inner Mission,580000,14TH ST,FOLSOM ST,SHOTWELL ST,FOLSOM ST,SHOTWELL ST,"LINESTRING (-122.4156 37.76853, -122.416695 37.768467)"
587000,14TH,ST,Inner Mission,587000,14TH ST,JULIAN AVE,STEVENSON ST,JULIAN AVE,STEVENSON ST,"LINESTRING (-122.421196 37.768196, -122.42135 37.768185)"
581000,14TH,ST,Inner Mission,581000,14TH ST,SHOTWELL ST,SOUTH VAN NESS AVE,SHOTWELL ST,SOUTH VAN NESS AVE,"LINESTRING (-122.416695 37.768467, -122.417786 37.768402)"
590000,14TH,ST,Mission Dolores,590000,14TH ST,GUERRERO ST,RAMONA AVE,GUERRERO ST,RAMONA AVE,"LINESTRING (-122.4244 37.768, -122.42534 37.767944)"
592000,14TH,ST,Mission Dolores,592000,14TH ST,ROSEMONT PL,DOLORES ST,ROSEMONT PL,DOLORES ST,"LINESTRING (-122.42552 37.767933, -122.42668 37.767864)"
583000,14TH,ST,Inner Mission,583000,14TH ST,NATOMA ST,MINNA ST,NATOMA ST,MINNA ST,"LINESTRING (-122.41854 37.768356, -122.41921 37.768314)"
585000,14TH,ST,Inner Mission,585000,14TH ST,MISSION ST,WOODWARD ST,MISSION ST,WOODWARD ST,"LINESTRING (-122.41997 37.76827, -122.42076 37.76822)"
586000,14TH,ST,Inner Mission,586000,14TH ST,WOODWARD ST,JULIAN AVE,WOODWARD ST,JULIAN AVE,"LINESTRING (-122.42076 37.76822, -122.421196 37.768196)"
589000,14TH,ST,Mission Dolores,589000,14TH ST,VALENCIA ST,GUERRERO ST,VALENCIA ST,GUERRERO ST,"LINESTRING (-122.42219 37.768135, -122.4244 37.768)"
582000,14TH,ST,Inner Mission,582000,14TH ST,SOUTH VAN NESS AVE,NATOMA ST,SOUTH VAN NESS AVE,NATOMA ST,"LINESTRING (-122.417786 37.768402, -122.41854 37.768356)"
584000,14TH,ST,Inner Mission,584000,14TH ST,MINNA ST,MISISON ST,MINNA ST,MISISON ST,"LINESTRING (-122.41921 37.768314, -122.41997 37.76827)"
588000,14TH,ST,Inner Mission,588000,14TH ST,STEVENSON ST,VALENCIA ST,STEVENSON ST,VALENCIA ST,"LINESTRING (-122.42135 37.768185, -122.42219 37.768135)"
2419000,ARGUELLO,BLVD,Jordan Park - Laurel Heights,2419000,ARGUELLO BLVD,CALIFORNIA ST,CORNWALL ST,CALIFORNIA ST,CORNWALL ST,"LINESTRING (-122.45917 37.785675, -122.45912 37.785053)"
2420000,ARGUELLO,BLVD,Jordan Park - Laurel Heights,2420000,ARGUELLO BLVD,CORNWALL ST,EUCLID AVE,CORNWALL ST,EUCLID AVE,"LINESTRING (-122.45912 37.785053, -122.45903 37.78382)"
2421000,ARGUELLO,BLVD,Jordan Park - Laurel Heights,2421000,ARGUELLO BLVD,EUCLID AVE,CLEMENT ST,EUCLID AVE,CLEMENT ST,"LINESTRING (-122.45903 37.78382, -122.458984 37.783184)"
2418000,ARGUELLO,BLVD,Presidio Heights,2418000,ARGUELLO BLVD,SACRAMENTO ST,CALIFORNIA ST,SACRAMENTO ST,CALIFORNIA ST,"LINESTRING (-122.45924 37.786617, -122.45917 37.785675)"
2417000,ARGUELLO,BLVD,Presidio Heights,2417000,ARGUELLO BLVD,LAKE ST,SACRAMENTO ST,LAKE ST,SACRAMENTO ST,"LINESTRING (-122.45927 37.786907, -122.45924 37.786617)"
5689000,FOLSOM,ST,Inner Mission,5689000,FOLSOM ST,15TH ST,16TH ST,15TH ST,16TH ST,"LINESTRING (-122.41545 37.766933, -122.4153 37.76531)"
5691000,FOLSOM,ST,Inner Mission,5691000,FOLSOM ST,ENTERPRISE ST,17TH ST,ENTERPRISE ST,17TH ST,"LINESTRING (-122.41524 37.7647, -122.41514 37.76369)"
5692000,FOLSOM,ST,Inner Mission,5692000,FOLSOM ST,17TH ST,18TH ST,17TH ST,18TH ST,"LINESTRING (-122.41514 37.76369, -122.414986 37.762093)"
5694000,FOLSOM,ST,Inner Mission,5694000,FOLSOM ST,19TH ST,20TH ST,19TH ST,20TH ST,"LINESTRING (-122.414825 37.760494, -122.41468 37.758892)"
5697000,FOLSOM,ST,Inner Mission,5697000,FOLSOM ST,22ND ST,23RD ST,22ND ST,23RD ST,"LINESTRING (-122.414375 37.755695, -122.41422 37.754093)"
5698000,FOLSOM,ST,Inner Mission,5698000,FOLSOM ST,23RD ST,24TH ST,23RD ST,24TH ST,"LINESTRING (-122.41422 37.754093, -122.41407 37.752502)"
5695000,FOLSOM,ST,Inner Mission,5695000,FOLSOM ST,20TH ST,21ST ST,20TH ST,21ST ST,"LINESTRING (-122.41468 37.758892, -122.41453 37.757294)"
