Song Name,Artist,City,Rank
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,New York City,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,New York City,2
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,New York City,3
Pepas,Farruko,New York City,4
I Hate U,SZA,New York City,5
We Set The Trends,Jim Jones & Migos,New York City,6
Need To Know,Doja Cat,New York City,7
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",New York City,8
Hello It's Me,Todd Rundgren,New York City,9
Do It to It,Acraze Feat. Cherish,New York City,10
Big Energy,Latto,New York City,11
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,New York City,12
Love Nwantiti (Ah Ah Ah),CKay,New York City,13
Shivers,Ed Sheeran,New York City,14
Ameno Amapiano (Remix),Goya Menor & Nektunez,New York City,15
abcdefu,GAYLE,New York City,16
Pope Is A Rockstar,SALES,New York City,17
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,New York City,18
Beggin,Måneskin,New York City,19
love nwantiti (North African Remix),CKay Feat. ElGrande Toto,New York City,20
Big Energy,Latto,Los Angeles,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Los Angeles,2
Pope Is A Rockstar,SALES,Los Angeles,3
Pepas,Farruko,Los Angeles,4
Hurricane,Kanye West,Los Angeles,5
Oh My God,Adele,Los Angeles,6
Hello It's Me,Todd Rundgren,Los Angeles,7
Need To Know,Doja Cat,Los Angeles,8
Big Subwoofer,"MOUNT WESTMORE, Snoop Dogg, Ice Cube, E-40 & Too $hort",Los Angeles,9
Happier Than Ever,Billie Eilish,Los Angeles,10
Love Nwantiti (Ah Ah Ah),CKay,Los Angeles,11
Heat Waves,Glass Animals,Los Angeles,12
Do It to It,Acraze Feat. Cherish,Los Angeles,13
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Los Angeles,14
Poke It Out,Wale Feat. Cool & Dre & J. Cole,Los Angeles,15
Have Mercy,Chlöe,Los Angeles,16
Better Days,"NEIKED, Mae Muller & Polo G",Los Angeles,17
abcdefu,GAYLE,Los Angeles,18
INDUSTRY BABY,Lil Nas X & Jack Harlow,Los Angeles,19
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Los Angeles,20
You Problem,MONSTA X,Chicago,1
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Chicago,2
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Chicago,3
Super Gremlin,Kodak Black,Chicago,4
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,Chicago,5
Scorpio,Moneybagg Yo,Chicago,6
Pressure,Ari Lennox,Chicago,7
Pope Is A Rockstar,SALES,Chicago,8
Happier Than Ever,Billie Eilish,Chicago,9
abcdefu,GAYLE,Chicago,10
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Chicago,11
Do It to It,Acraze Feat. Cherish,Chicago,12
Better Days,"NEIKED, Mae Muller & Polo G",Chicago,13
Oh My God,Adele,Chicago,14
Easy On Me,Adele,Chicago,15
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Chicago,16
Beggin,Måneskin,Chicago,17
Shivers,Ed Sheeran,Chicago,18
Heat Waves,Glass Animals,Chicago,19
Need To Know,Doja Cat,Chicago,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Houston,1
Scorpio,Moneybagg Yo,Houston,2
Pope Is A Rockstar,SALES,Houston,3
Super Gremlin,Kodak Black,Houston,4
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Houston,5
Pepas,Farruko,Houston,6
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Houston,7
Heat Waves,Glass Animals,Houston,8
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Houston,9
Beautiful Lies,Yung Bleu & Kehlani,Houston,10
Beggin,Måneskin,Houston,11
Have Mercy,Chlöe,Houston,12
Big Energy,Latto,Houston,13
Forever Tippin,"Yung Pooda, DJ Chose & Dre",Houston,14
Pressure,Ari Lennox,Houston,15
Need To Know,Doja Cat,Houston,16
Bubbly (with Drake & Travis Scott),Young Thug,Houston,17
Easy On Me,Adele,Houston,18
Si Te Pudiera Mentir,Calibre 50,Houston,19
Maybach,42 Dugg Feat. Future,Houston,20
You Problem,MONSTA X,Atlanta,1
Super Gremlin,Kodak Black,Atlanta,2
Scorpio,Moneybagg Yo,Atlanta,3
Pressure,Ari Lennox,Atlanta,4
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Atlanta,5
Me or Sum,Nardo Wick Feat. Future & Lil Baby,Atlanta,6
love nwantiti [Remix],CKay Feat. Axel & Dj Yo!,Atlanta,7
Bubbly (with Drake & Travis Scott),Young Thug,Atlanta,8
Smokin Out The Window,"Bruno Mars, Anderson .Paak & Silk Sonic",Atlanta,9
Pope Is A Rockstar,SALES,Atlanta,10
Big Energy,Latto,Atlanta,11
For Tonight,GIVĒON,Atlanta,12
Knife Talk [Mixed],Drake Feat. 21 Savage & Project Pat,Atlanta,13
Essence [Mixed],Wizkid Feat. Justin Bieber & Tems,Atlanta,14
Cold Heart (PNAU Remix),Elton John & Dua Lipa,Atlanta,15
Own Brand Freestyle,FelixThe1st & Dreya Mac Feat. Finch Fetti,Atlanta,16
Your Turn,"Ty Dolla $ign Feat. Musiq Soulchild, Tish Hyman & 6LACK",Atlanta,17
Beautiful Lies,Yung Bleu & Kehlani,Atlanta,18
Outlawz,Rick Ross Feat. Jazmine Sullivan & 21 Savage,Atlanta,19
Chosen,Blxst & Tyga Feat. Ty Dolla $ign,Atlanta,20
The Cowboy In Me (Yellowstone Edition),Tim McGraw,Dallas,1
