Song Name,Artist,Aberdeen-SD,Aberdeen-WA,Abilene,Akron,Albany,Albuquerque,Allentown,Anaheim,Anchorage,Asheville,Atlanta,Aurora,Austin,Bakersfield,Baltimore,Barnstable,Baton-Rouge,Bellingham,Belvidere,Bend,Billings,Birmingham,Bismarck,Boise,Boston,Brentwood-NY,Bridgeport,Brockton,Brooklyn,Brownsville,Buffalo,Cape-Coral,Casper,Cedar-Rapids,Centreville,Charleston,Charlotte,Cheyenne,Chicago,Chico,Cincinnati,Clarksville-TN,Cleveland,Colorado-Springs,Columbia,Columbus,Concord-CA,Coram-NY,Coventry-RI,Crystal-Lake,Dale-City-VA,Dallas,Davenport,Dayton,Denver,Detroit,Dodge-City,Douglas-GA,Duluth,Dumas,El-Paso,Elgin,Erie,Eugene,Evanston,Fairbanks,Fairfield,Fargo,Fayetteville-AR,Fort-Lauderdale,Fort-Worth,Freeport-FL,Fremont-CA,Fresno,Grand-Island,Grand-Junction,Grand-Rapids,Great-Falls,Green-Bay,Greensboro,Greenville,Hammond-IN,Hanover-PA,Hartford,Hilo,Honolulu,Houston,Idaho-Falls,Indianapolis,Jackson,Jacksonville,Joliet,Juneau,Kansas-City,Keene-NH,Kennewick,Killeen,Knoxville,Lansing,Laredo,Las-Vegas,Lewiston,Little-Rock,Los-Angeles,Louisville,Lubbock,Macon,Madison,Manhattan,Mansfield-City,Marquette,McAllen,Memphis,Mesa,Miami,Milford-DE,Milwaukee,Minneapolis,Missoula,Mobile,Modesto,Nashville,New-Haven,New-Orleans,New-Ulm-MN,New-York-City,Norfolk,North-Platte,Norwich,Oakland,Ogden,Oklahoma-City,Omaha,Oneonta,Orlando,Oxnard,Philadelphia,Phoenix,Pine-Bluff,Pittsburgh,Pittsfield,Pocatello,Port-Angeles,Port-Saint-Lucie,Portland,Providence,Provo,Pueblo,Raleigh,Rapid-City,Reading,Reno,Richmond,Riverside,Rochester,Rockford,Rome,Sacramento,Saint-Cloud,Saint-Paul,Salinas,Salt-Lake-City,San-Antonio,San-Diego,San-Francisco,San-Jose,Santa-Barbara,Sarasota,Scranton,Seattle,Shreveport,Sioux-Falls,South-Boston,Spokane,Springfield-IL,Springfield-MA,Springfield-MO,St.-Louis,Stockton,Syracuse,Tacoma,Tallahassee,Tampa,The-Woodlands-TX,Thousand-Oaks,Toms-River,Tracy-CA,Trenton,Tucson,Tulsa,Twin-Falls,Tyler,Virginia-Beach,Warren-OH,Washington-D.C.,Wichita,Wilmington,Worcester,Yakima,Youngstown,Yuma
Drink Before The War,Sinéad O'Connor,1,1,2,1,2,1,1,1,1,1,2,,1,1,2,3,2,1,16,2,7,5,1,1,1,2,2,1,,2,2,3,9,1,,1,2,,1,1,1,1,2,1,3,1,1,1,,1,2,1,1,2,1,2,2,,1,,1,1,1,1,7,3,3,1,1,1,1,2,1,1,17,3,1,1,1,2,3,2,3,2,2,19,1,11,2,2,2,2,1,1,1,1,2,1,1,2,1,8,2,1,1,1,7,1,1,1,1,2,4,1,2,,2,1,1,3,1,1,2,2,16,2,2,19,1,1,1,1,1,,1,1,2,1,8,1,1,8,1,2,1,1,1,1,2,1,1,1,2,1,1,5,2,1,1,2,1,1,1,1,1,1,3,3,2,1,2,3,17,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,5,2,,2,1,2,1,2,2,1
Here In Spirit,Jim James,2,,,3,3,,4,3,4,2,4,,2,,4,1,6,2,2,1,,12,,4,2,3,3,3,,,8,4,,,,2,5,,3,6,4,,3,2,9,3,4,4,,2,5,5,11,10,2,5,,,5,,,4,2,5,,2,4,12,2,4,6,15,6,,,11,3,,7,7,5,5,18,3,,,7,,4,14,8,3,5,2,8,10,13,2,5,,20,19,3,6,3,7,,2,10,7,2,,9,8,12,,3,2,2,7,,2,4,7,,7,13,,5,3,17,3,5,,10,6,3,7,,3,3,,3,5,3,3,,19,3,,5,9,3,10,3,18,13,10,13,,4,10,9,2,2,4,4,1,15,3,10,12,,6,1,20,4,3,,9,2,5,5,4,2,3,14,3,12,3,16,11,6,,3,19,5,3,,3,
abcdefu,GAYLE,3,,3,14,20,13,14,12,5,,,10,,15,,6,,7,4,,10,,8,10,,,,13,,15,,15,8,8,,,,,,18,13,14,14,7,17,16,11,13,,11,,16,9,12,13,16,,,14,,7,12,7,12,,8,14,13,4,,15,,16,10,19,,15,2,5,,19,15,,16,15,16,17,5,10,,11,17,,14,,3,14,10,8,,19,,19,,18,14,,15,,,,13,,5,20,7,14,10,9,16,,,18,15,2,,,16,,,5,10,8,,11,11,18,8,,10,7,6,13,15,15,,4,5,13,10,12,8,,20,17,6,,8,14,,,6,17,,16,8,19,13,9,9,,,,2,9,9,9,16,14,8,8,,18,14,18,11,19,,13,16,6,16,,11,,16,16,17,7,,15
THATS WHAT I WANT,Lil Nas X,4,11,,15,,,11,17,,,,11,,,,20,,12,,9,15,,10,14,,,18,,,,,,6,9,,,,,,,,,17,14,,,,,,6,,,,13,17,11,18,20,12,,,16,13,19,15,,,2,,,,,,,,14,17,5,6,,,,6,,,,,8,,,18,18,16,,,,18,19,16,,,,,,,,,,,,,,,,,,13,9,,,,20,15,,,,,,,,8,,11,,,,20,,,9,,17,,,,16,7,,,2,8,,,,11,20,,,3,,,13,,,,,,17,8,17,,4,,20,6,7,,,,7,18,,20,,,14,,14,,11,13,,,,,20,12,18,16,5,
Ginseng Strip 2002,Yung Lean,5,16,8,20,12,2,6,8,2,9,8,2,3,2,8,,7,11,17,,4,6,6,5,10,6,9,15,6,1,,7,7,11,,10,3,7,5,7,8,3,11,3,,11,8,5,3,9,3,3,16,7,3,18,1,4,,1,2,11,8,14,,1,6,8,3,,5,,7,4,1,2,11,4,13,18,9,6,9,8,1,,3,4,3,8,13,15,3,8,13,2,3,9,,1,4,18,6,4,7,3,,7,12,2,15,1,11,11,7,,7,8,4,9,2,5,8,11,18,11,12,20,10,11,4,2,2,,4,2,13,2,,7,4,10,,9,6,7,6,2,7,3,3,4,6,2,10,12,7,6,7,1,2,2,2,7,6,5,6,18,14,2,8,9,6,9,18,5,7,10,3,,3,11,6,3,11,9,3,15,2,2,2,3,8,,6,2,4,7,1,7,4
a Lot,21 Savage,6,,,,,,19,,,10,,,10,,,11,,14,,6,,,,,12,16,17,16,,,,,,,,9,,,15,,14,,18,,,18,18,,,,,19,,,12,,,,,19,,,,,,,,9,10,,,,,,,,,,,,,13,,,,,,,16,20,,13,,16,,19,,13,,,,,11,,12,,,6,17,11,,,,,,,16,13,14,,,9,,,,,,,20,15,,,,,,,,,,18,14,,,,13,19,,15,9,9,,,14,,,,14,,,,17,,,12,17,16,13,16,,13,,,,,,,,13,,,,,,20,20,,,16,,20,,,,,12,,,11,,,
Cold Heart (PNAU Remix),Elton John & Dua Lipa,7,,4,9,5,3,7,4,7,,,,11,8,12,2,11,17,10,8,2,20,15,2,6,4,5,5,,6,5,1,18,2,,18,,,8,2,11,11,8,5,10,13,5,3,,3,13,11,3,5,6,8,17,,,,3,2,3,3,,,5,7,9,2,9,5,3,3,10,5,9,3,4,,10,9,1,5,5,3,10,2,19,19,4,4,,7,9,8,19,4,15,5,2,1,12,7,13,6,18,10,,8,8,3,,3,1,1,9,12,20,20,5,16,3,5,8,3,,17,9,6,3,8,4,,2,5,11,4,,12,2,4,6,1,4,4,2,9,14,18,11,3,16,5,4,2,,3,20,,,3,4,9,4,3,10,2,4,4,11,13,,3,3,4,2,18,10,2,4,4,3,7,6,2,,6,3,15,4,14,13,4,18,3,11,2,5,11,2
Oh My God,Adele,8,,,,19,8,,,11,14,,,,13,,4,,15,,4,9,,16,9,,,15,,,,,,19,5,,,,,,,,,19,15,,14,,,5,8,,,2,20,18,12,,,,,20,,14,9,18,,11,11,18,,,4,,20,3,6,12,,8,,20,,12,20,,12,,1,12,,,19,,9,10,4,15,8,,,,5,,,,16,,18,,,,18,,17,,17,15,15,12,,13,,20,20,,,,,6,,11,15,6,,20,,,11,,15,,11,,20,14,,17,7,,,,,,,15,9,,13,,,,,19,,,,,,6,19,,16,,11,,6,15,17,,10,14,,,,,,11,,16,10,15,19,,9,,15,15,20,,18,7
Ca Plane Pour Moi,Plastic Bertrand,9,,,19,13,,9,6,9,4,,,6,,,5,,,,12,,,2,18,4,5,16,4,,,,16,,,,20,,,9,14,9,,6,10,,20,7,6,,7,,15,,19,9,,,,11,,,,,11,,,18,14,19,12,,7,,,,,19,,,,,,,18,,,,,,,,8,,17,2,,,,10,,,,14,11,,,,5,,6,16,,,,,,8,5,18,,,8,16,17,,16,,,11,5,,20,,,,8,12,,,6,,,7,,7,5,,,,15,,,,,9,,,,,,8,19,,4,5,9,8,11,,5,,,,18,,,18,9,,16,12,16,,16,4,6,16,8,18,,,,18,,7,,,6,,9,
Wasted,Juice WRLD Feat. Lil Uzi Vert,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All For Us (From The HBO Original Series Euphoria),Labrinth & Zendaya,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,16,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Look Good,O.T. Genasis,12,,,4,4,5,5,5,6,5,7,,5,10,7,16,5,4,,11,,,,11,5,11,13,7,,,18,8,5,6,,4,7,,10,3,3,13,5,4,15,5,3,16,,10,7,7,7,4,4,6,,,3,,5,14,12,,9,13,2,3,6,14,7,,2,6,,4,6,12,3,8,13,11,10,15,8,,14,7,6,17,9,11,6,18,,5,4,11,4,,9,,7,10,6,9,,3,18,5,6,,15,4,17,,4,3,3,6,4,4,9,9,5,15,5,,3,4,7,6,9,,12,7,5,5,,4,,,,13,5,6,12,4,4,8,10,5,10,8,6,,20,2,4,,3,7,11,3,3,2,12,7,,6,5,5,,5,,,19,7,4,13,5,7,9,11,5,8,4,10,6,9,11,6,9,,5,,7,5,13,20,
Be Alright,"Evan Craft, Danny Gokey & Redimi2",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilder Days,Morgan Wade,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good 4 u,Olivia Rodrigo,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Blue,John Mayer,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do It to It,Acraze Feat. Cherish,17,,,,,,,20,,,,,,,,,,,5,,,,9,,,,,,,,,18,3,15,,,,,,,,,,18,,,,19,,15,,,,,,,,,,,11,,17,,,,,,,16,,,,,,,,,11,,,,5,,12,17,,,,,,14,,,,,,,,16,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,11,14,,,,,,,,,,,,13,,,,,,,,,,,,,,,17,,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,20
Enemy (From the series Arcane League of Legends),"Imagine Dragons, Arcane & League of Legends",18,,,,,,,,,,,,,,,,,,,,19,,,19,,,,,,,,,4,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,19,,7,19,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,10,11,,,,,,,,,,,,,,14,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,17,,,,,14,,,,,
Loser,Sueco,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Luv?,Fat Joe Feat. Ashanti,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,,2,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
One Mississippi,Kane Brown,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day Drinking,Little Big Town,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
